Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Fri Mar 24 07:40:24 2023;-70;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:25 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:26 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:28 2023;-82;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:30 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:31 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:32 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:33 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:34 2023;-71;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:36 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:37 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:38 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:39 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:41 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:42 2023;-82;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:45 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:46 2023;-69;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:48 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:50 2023;-82;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:51 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:52 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:53 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:54 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:40:57 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:00 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:01 2023;-79;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:05 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:06 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:07 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:08 2023;-71;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:10 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:11 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:12 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:15 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:16 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:17 2023;-79;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:18 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:19 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:20 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:21 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:22 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:23 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:24 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:25 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:27 2023;-79;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:30 2023;-67;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:32 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:33 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:38 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:40 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:41 2023;-82;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:42 2023;-73;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:43 2023;-80;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:44 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:46 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:49 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:50 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:51 2023;-82;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:53 2023;-71;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:54 2023;-81;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:55 2023;-71;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:57 2023;-71;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:41:59 2023;-72;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:02 2023;-85;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:04 2023;-74;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:05 2023;-79;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:06 2023;-77;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:07 2023;-66;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:09 2023;-86;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:11 2023;-65;-5.55, 15;0, 0;15.99382693
Fri Mar 24 07:42:12 2023;-79;-5.55, 15;0, 0;15.99382693
