Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Fri Mar 24 08:29:38 2023;-73;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:39 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:40 2023;-73;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:41 2023;-72;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:43 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:44 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:46 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:47 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:48 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:50 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:51 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:53 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:55 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:56 2023;-73;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:29:58 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:00 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:03 2023;-73;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:04 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:05 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:06 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:07 2023;-69;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:08 2023;-68;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:09 2023;-73;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:10 2023;-67;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:12 2023;-72;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:14 2023;-72;-10.55, -6;0, 0;12.13682413
Fri Mar 24 08:30:18 2023;-68;-10.55, -6;0, 0;12.13682413
