Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-72;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-70;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-69;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-64;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-70;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-64;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-69;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-70;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-63;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-64;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-64;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-72;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-65;10.55, 7.5;0, 0;12.944
09/05/23 22:21;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-70;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-69;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-68;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:22;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-77;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-66;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-70;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-71;10.55, 7.5;0, 0;12.944
09/05/23 22:23;-67;10.55, 7.5;0, 0;12.944
