Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-73;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-70;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-73;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-73;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-69;-5.55, 15;0, 0;15.994
09/05/23 21:15;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-70;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-70;-5.55, 15;0, 0;15.994
09/05/23 21:16;-74;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-70;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-70;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-68;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-74;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-68;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-70;-5.55, 15;0, 0;15.994
09/05/23 21:16;-74;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-68;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-67;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:16;-68;-5.55, 15;0, 0;15.994
09/05/23 21:16;-69;-5.55, 15;0, 0;15.994
09/05/23 21:16;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-70;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-70;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-66;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-72;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-70;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-67;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-74;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-70;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-73;-5.55, 15;0, 0;15.994
09/05/23 21:17;-68;-5.55, 15;0, 0;15.994
09/05/23 21:17;-69;-5.55, 15;0, 0;15.994
09/05/23 21:18;-72;-5.55, 15;0, 0;15.994
09/05/23 21:18;-71;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:18;-65;-5.55, 15;0, 0;15.994
09/05/23 21:18;-67;-5.55, 15;0, 0;15.994
09/05/23 21:18;-73;-5.55, 15;0, 0;15.994
09/05/23 21:18;-73;-5.55, 15;0, 0;15.994
09/05/23 21:18;-69;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:18;-73;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:18;-69;-5.55, 15;0, 0;15.994
09/05/23 21:18;-68;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:18;-73;-5.55, 15;0, 0;15.994
09/05/23 21:18;-68;-5.55, 15;0, 0;15.994
09/05/23 21:18;-69;-5.55, 15;0, 0;15.994
09/05/23 21:18;-73;-5.55, 15;0, 0;15.994
09/05/23 21:18;-69;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:18;-70;-5.55, 15;0, 0;15.994
09/05/23 21:19;-70;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-74;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-70;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-74;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-68;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-67;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-74;-5.55, 15;0, 0;15.994
09/05/23 21:19;-70;-5.55, 15;0, 0;15.994
09/05/23 21:19;-69;-5.55, 15;0, 0;15.994
09/05/23 21:19;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-70;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-69;-5.55, 15;0, 0;15.994
09/05/23 21:20;-66;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-73;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-66;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-68;-5.55, 15;0, 0;15.994
09/05/23 21:20;-67;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:20;-72;-5.55, 15;0, 0;15.994
09/05/23 21:21;-67;-5.55, 15;0, 0;15.994
