Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 21:48;-57;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-57;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-59;0, -15;0, 0;15
09/05/23 21:48;-63;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-57;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-63;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-63;0, -15;0, 0;15
09/05/23 21:48;-57;0, -15;0, 0;15
09/05/23 21:48;-59;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-57;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-58;0, -15;0, 0;15
09/05/23 21:48;-62;0, -15;0, 0;15
09/05/23 21:49;-57;0, -15;0, 0;15
09/05/23 21:49;-58;0, -15;0, 0;15
09/05/23 21:49;-62;0, -15;0, 0;15
09/05/23 21:49;-57;0, -15;0, 0;15
09/05/23 21:49;-58;0, -15;0, 0;15
09/05/23 21:49;-63;0, -15;0, 0;15
09/05/23 21:49;-58;0, -15;0, 0;15
09/05/23 21:49;-58;0, -15;0, 0;15
