Date ISO;Rx Power [dBm]
2023-06-27 10:28:42;-81
2023-06-27 10:28:42;-60
2023-06-27 10:28:42;-65
2023-06-27 10:28:45;-62
2023-06-27 10:28:45;-61
2023-06-27 10:28:45;-65
2023-06-27 10:28:48;-62
2023-06-27 10:28:48;-61
2023-06-27 10:28:48;-65
2023-06-27 10:28:50;-63
2023-06-27 10:28:50;-62
2023-06-27 10:28:50;-66
2023-06-27 10:28:53;-60
2023-06-27 10:28:53;-65
2023-06-27 10:28:58;-63
2023-06-27 10:28:58;-61
2023-06-27 10:28:59;-65
2023-06-27 10:29:01;-60
2023-06-27 10:29:01;-65
2023-06-27 10:29:04;-62
2023-06-27 10:29:04;-61
2023-06-27 10:29:04;-65
2023-06-27 10:29:06;-63
2023-06-27 10:29:06;-61
2023-06-27 10:29:09;-63
2023-06-27 10:29:09;-65
2023-06-27 10:29:12;-65
2023-06-27 10:29:14;-63
2023-06-27 10:29:15;-60
2023-06-27 10:29:17;-63
2023-06-27 10:29:17;-66
2023-06-27 10:29:20;-61
2023-06-27 10:29:20;-65
2023-06-27 10:29:22;-63
2023-06-27 10:29:23;-62
2023-06-27 10:29:25;-62
2023-06-27 10:29:25;-62
2023-06-27 10:29:25;-65
2023-06-27 10:29:28;-63
2023-06-27 10:29:28;-60
2023-06-27 10:29:28;-65
2023-06-27 10:29:31;-62
2023-06-27 10:29:31;-65
2023-06-27 10:29:33;-63
2023-06-27 10:29:33;-62
2023-06-27 10:29:33;-66
2023-06-27 10:29:36;-63
2023-06-27 10:29:36;-61
2023-06-27 10:29:36;-65
2023-06-27 10:29:39;-63
2023-06-27 10:29:39;-61
2023-06-27 10:29:39;-66
2023-06-27 10:29:41;-62
2023-06-27 10:29:41;-65
2023-06-27 10:29:44;-66
2023-06-27 10:29:47;-63
2023-06-27 10:29:47;-59
2023-06-27 10:29:47;-65
2023-06-27 10:29:52;-64
2023-06-27 10:29:52;-63
2023-06-27 10:29:52;-67
2023-06-27 10:29:55;-61
2023-06-27 10:29:55;-65
2023-06-27 10:29:57;-63
2023-06-27 10:29:58;-82
2023-06-27 10:30:00;-62
2023-06-27 10:30:00;-65
