Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-54;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-54;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-54;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-71;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-54;0, -15;0, 0;15
09/05/23 20:09;-75;0, -15;0, 0;15
09/05/23 20:09;-54;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-56;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-61;0, -15;0, 0;15
09/05/23 20:09;-55;0, -15;0, 0;15
09/05/23 20:09;-60;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-54;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-60;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-61;0, -15;0, 0;15
09/05/23 20:10;-58;0, -15;0, 0;15
09/05/23 20:10;-53;0, -15;0, 0;15
09/05/23 20:10;-61;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-60;0, -15;0, 0;15
09/05/23 20:10;-60;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-60;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-60;0, -15;0, 0;15
09/05/23 20:10;-54;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;17;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-53;0, -15;0, 0;15
09/05/23 20:10;-54;0, -15;0, 0;15
09/05/23 20:10;-52;0, -15;0, 0;15
09/05/23 20:10;-52;0, -15;0, 0;15
09/05/23 20:10;-52;0, -15;0, 0;15
09/05/23 20:10;-54;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;-55;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:10;-59;0, -15;0, 0;15
09/05/23 20:11;-60;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-60;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-56;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-54;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-54;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-59;0, -15;0, 0;15
09/05/23 20:11;-54;0, -15;0, 0;15
09/05/23 20:11;-56;0, -15;0, 0;15
09/05/23 20:11;-60;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-60;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
09/05/23 20:11;-60;0, -15;0, 0;15
09/05/23 20:11;-54;0, -15;0, 0;15
09/05/23 20:11;-55;0, -15;0, 0;15
