TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 12:04:13 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:17 2023;-82;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:18 2023;-92;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:21 2023;-80;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:22 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:23 2023;-78;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:25 2023;-82;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:27 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:30 2023;-79;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:31 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:32 2023;-79;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:34 2023;-79;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:37 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:45 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:49 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:54 2023;-82;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:04:57 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:03 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:06 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:08 2023;-89;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:10 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:14 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:18 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:24 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:27 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:28 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:29 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:33 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:36 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:53 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:55 2023;-90;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:05:56 2023;-89;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:15 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:19 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:21 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:22 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:25 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:30 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:38 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:43 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:44 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:45 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:48 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:06:58 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:00 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:02 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:05 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:09 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:10 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:11 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:16 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:21 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:23 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:24 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:35 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:40 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:44 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:45 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:48 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:07:54 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:01 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:07 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:08 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:11 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:15 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:19 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:20 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:22 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:24 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:25 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:27 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:31 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:33 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:34 2023;-82;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:44 2023;-88;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:50 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:58 2023;-89;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:08:59 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:00 2023;-87;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:01 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:04 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:07 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:09 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:13 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:14 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:15 2023;-85;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:25 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:32 2023;-86;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:33 2023;-95;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:34 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:36 2023;-82;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:42 2023;-83;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:45 2023;-84;16.4, -8.15;4.6, 0;14.34093791
Thu Mar 16 12:09:47 2023;-85;16.4, -8.15;4.6, 0;14.34093791
