TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:39:55 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:39:56 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:39:58 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:39:59 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:00 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:01 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:03 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:04 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:06 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:07 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:09 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:10 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:11 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:12 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:13 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:14 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:15 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:16 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:19 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:22 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:24 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:25 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:26 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:29 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:30 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:31 2023;-71;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:33 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:34 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:35 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:37 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:38 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:39 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:40 2023;-66;-0.4, 15;4.6, 0;15.8113883
