Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
09/05/23 21:31;-61;-10.55, 0;0, 0;10.55
09/05/23 21:31;-59;-10.55, 0;0, 0;10.55
09/05/23 21:31;-65;-10.55, 0;0, 0;10.55
09/05/23 21:31;-61;-10.55, 0;0, 0;10.55
09/05/23 21:31;-65;-10.55, 0;0, 0;10.55
09/05/23 21:31;-61;-10.55, 0;0, 0;10.55
09/05/23 21:31;-66;-10.55, 0;0, 0;10.55
09/05/23 21:32;-69;-10.55, 0;0, 0;10.55
09/05/23 21:32;-65;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-65;-10.55, 0;0, 0;10.55
09/05/23 21:32;-62;-10.55, 0;0, 0;10.55
09/05/23 21:32;-63;-10.55, 0;0, 0;10.55
09/05/23 21:32;-70;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-66;-10.55, 0;0, 0;10.55
09/05/23 21:32;-65;-10.55, 0;0, 0;10.55
09/05/23 21:32;-69;-10.55, 0;0, 0;10.55
09/05/23 21:32;-63;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-70;-10.55, 0;0, 0;10.55
09/05/23 21:32;-63;-10.55, 0;0, 0;10.55
09/05/23 21:32;-63;-10.55, 0;0, 0;10.55
09/05/23 21:32;-69;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-65;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-66;-10.55, 0;0, 0;10.55
09/05/23 21:32;-68;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-65;-10.55, 0;0, 0;10.55
09/05/23 21:32;-62;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-67;-10.55, 0;0, 0;10.55
09/05/23 21:32;-67;-10.55, 0;0, 0;10.55
09/05/23 21:32;-62;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-66;-10.55, 0;0, 0;10.55
09/05/23 21:32;-71;-10.55, 0;0, 0;10.55
09/05/23 21:32;-62;-10.55, 0;0, 0;10.55
09/05/23 21:32;-67;-10.55, 0;0, 0;10.55
09/05/23 21:32;-62;-10.55, 0;0, 0;10.55
09/05/23 21:32;-61;-10.55, 0;0, 0;10.55
09/05/23 21:32;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-67;-10.55, 0;0, 0;10.55
09/05/23 21:33;-67;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-65;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-67;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-67;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-68;-10.55, 0;0, 0;10.55
09/05/23 21:33;-68;-10.55, 0;0, 0;10.55
09/05/23 21:33;-68;-10.55, 0;0, 0;10.55
09/05/23 21:33;-69;-10.55, 0;0, 0;10.55
09/05/23 21:33;-64;-10.55, 0;0, 0;10.55
09/05/23 21:33;-64;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-62;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-61;-10.55, 0;0, 0;10.55
09/05/23 21:33;-66;-10.55, 0;0, 0;10.55
