Timestamp;Rx Power [dBm]
Fri Mar 24 13:38:29 2023;-72
Fri Mar 24 13:38:32 2023;-72
Fri Mar 24 13:38:34 2023;-72
Fri Mar 24 13:38:37 2023;-72
Fri Mar 24 13:38:39 2023;-72
Fri Mar 24 13:38:40 2023;-75
Fri Mar 24 13:38:41 2023;-73
Fri Mar 24 13:38:42 2023;-75
Fri Mar 24 13:38:44 2023;-79
Fri Mar 24 13:38:46 2023;-73
Fri Mar 24 13:38:48 2023;-76
Fri Mar 24 13:38:50 2023;-74
Fri Mar 24 13:38:56 2023;-74
Fri Mar 24 13:38:57 2023;-74
Fri Mar 24 13:38:58 2023;-74
Fri Mar 24 13:39:01 2023;-75
Fri Mar 24 13:39:02 2023;-74
Fri Mar 24 13:39:03 2023;-81
Fri Mar 24 13:39:06 2023;-76
Fri Mar 24 13:39:08 2023;-77
Fri Mar 24 13:39:11 2023;-79
Fri Mar 24 13:39:12 2023;-77
Fri Mar 24 13:39:13 2023;-77
Fri Mar 24 13:39:14 2023;-78
Fri Mar 24 13:39:18 2023;-77
Fri Mar 24 13:39:19 2023;-75
Fri Mar 24 13:39:22 2023;-76
Fri Mar 24 13:39:23 2023;-76
Fri Mar 24 13:39:24 2023;-78
Fri Mar 24 13:39:25 2023;-74
Fri Mar 24 13:39:27 2023;-77
Fri Mar 24 13:39:28 2023;-78
Fri Mar 24 13:39:29 2023;-75
Fri Mar 24 13:39:32 2023;-80
Fri Mar 24 13:39:34 2023;-80
Fri Mar 24 13:39:35 2023;-76
Fri Mar 24 13:39:37 2023;-77
Fri Mar 24 13:39:40 2023;-78
Fri Mar 24 13:39:45 2023;-76
Fri Mar 24 13:39:46 2023;-77
Fri Mar 24 13:39:50 2023;-76
Fri Mar 24 13:39:51 2023;-79
Fri Mar 24 13:39:52 2023;-75
Fri Mar 24 13:39:54 2023;-76
Fri Mar 24 13:39:55 2023;-78
Fri Mar 24 13:39:58 2023;-77
Fri Mar 24 13:40:03 2023;-76
Fri Mar 24 13:40:05 2023;-77
Fri Mar 24 13:40:07 2023;-76
Fri Mar 24 13:40:08 2023;-78
Fri Mar 24 13:40:11 2023;-78
Fri Mar 24 13:40:12 2023;-78
Fri Mar 24 13:40:16 2023;-77
Fri Mar 24 13:40:17 2023;-76
Fri Mar 24 13:40:18 2023;-76
Fri Mar 24 13:40:20 2023;-77
Fri Mar 24 13:40:22 2023;-79
Fri Mar 24 13:40:24 2023;-76
Fri Mar 24 13:40:25 2023;-78
Fri Mar 24 13:40:26 2023;-77
Fri Mar 24 13:40:28 2023;-76
Fri Mar 24 13:40:29 2023;-77
Fri Mar 24 13:40:32 2023;-76
Fri Mar 24 13:40:33 2023;-76
Fri Mar 24 13:40:34 2023;-76
Fri Mar 24 13:40:35 2023;-76
Fri Mar 24 13:40:38 2023;-76
Fri Mar 24 13:40:42 2023;-77
Fri Mar 24 13:40:43 2023;-76
Fri Mar 24 13:40:44 2023;-77
Fri Mar 24 13:40:46 2023;-77
Fri Mar 24 13:40:47 2023;-77
Fri Mar 24 13:40:49 2023;-78
Fri Mar 24 13:40:50 2023;-76
Fri Mar 24 13:40:51 2023;-78
Fri Mar 24 13:40:55 2023;-77
Fri Mar 24 13:40:56 2023;-76
Fri Mar 24 13:40:59 2023;-78
Fri Mar 24 13:41:00 2023;-75
Fri Mar 24 13:41:01 2023;-77
Fri Mar 24 13:41:02 2023;-77
Fri Mar 24 13:41:04 2023;-76
Fri Mar 24 13:41:06 2023;-76
Fri Mar 24 13:41:07 2023;-77
Fri Mar 24 13:41:10 2023;-76
Fri Mar 24 13:41:11 2023;-77
Fri Mar 24 13:41:13 2023;-77
Fri Mar 24 13:41:14 2023;-76
Fri Mar 24 13:41:15 2023;-77
Fri Mar 24 13:41:17 2023;-76
Fri Mar 24 13:41:18 2023;-76
Fri Mar 24 13:41:19 2023;-76
Fri Mar 24 13:41:21 2023;-77
Fri Mar 24 13:41:22 2023;-77
Fri Mar 24 13:41:23 2023;-78
Fri Mar 24 13:41:25 2023;-77
Fri Mar 24 13:41:26 2023;-77
Fri Mar 24 13:41:27 2023;-77
Fri Mar 24 13:41:30 2023;-77
Fri Mar 24 13:41:31 2023;-75
Fri Mar 24 13:41:33 2023;-77
Fri Mar 24 13:41:35 2023;-77
Fri Mar 24 13:41:36 2023;-77
Fri Mar 24 13:41:37 2023;-78
Fri Mar 24 13:41:39 2023;-77
Fri Mar 24 13:41:40 2023;-75
Fri Mar 24 13:41:43 2023;-77
Fri Mar 24 13:41:45 2023;-77
Fri Mar 24 13:41:46 2023;-77
Fri Mar 24 13:41:48 2023;-77
Fri Mar 24 13:41:49 2023;-76
Fri Mar 24 13:41:50 2023;-77
Fri Mar 24 13:41:51 2023;-76
Fri Mar 24 13:41:53 2023;-77
Fri Mar 24 13:41:55 2023;-76
Fri Mar 24 13:41:56 2023;-77
Fri Mar 24 13:41:57 2023;-76
Fri Mar 24 13:41:58 2023;-76
Fri Mar 24 13:41:59 2023;-78
Fri Mar 24 13:42:01 2023;-76
Fri Mar 24 13:42:02 2023;-76
Fri Mar 24 13:42:03 2023;-76
Fri Mar 24 13:42:04 2023;-77
Fri Mar 24 13:42:05 2023;-76
Fri Mar 24 13:42:06 2023;-78
Fri Mar 24 13:42:07 2023;-78
Fri Mar 24 13:42:08 2023;-76
Fri Mar 24 13:42:09 2023;-76
Fri Mar 24 13:42:11 2023;-76
