Date ISO;Rx Power [dBm]
2023-06-27 07:04:18;-72
2023-06-27 07:04:21;-72
2023-06-27 07:04:21;-73
2023-06-27 07:04:21;-77
2023-06-27 07:04:23;-72
2023-06-27 07:04:23;-71
2023-06-27 07:04:23;-77
2023-06-27 07:04:26;-71
2023-06-27 07:04:26;-72
2023-06-27 07:04:26;-77
2023-06-27 07:04:29;-71
2023-06-27 07:04:29;-71
2023-06-27 07:04:31;-72
2023-06-27 07:04:34;-72
2023-06-27 07:04:34;-76
2023-06-27 07:04:37;-72
2023-06-27 07:04:37;-73
2023-06-27 07:04:37;-75
2023-06-27 07:04:39;-72
2023-06-27 07:04:39;-77
2023-06-27 07:04:42;-72
2023-06-27 07:04:42;-91
2023-06-27 07:04:42;-76
2023-06-27 07:04:45;-72
2023-06-27 07:04:45;-77
2023-06-27 07:04:47;-71
2023-06-27 07:04:47;-73
2023-06-27 07:04:48;-77
2023-06-27 07:04:50;-72
2023-06-27 07:04:50;-72
2023-06-27 07:04:50;-76
2023-06-27 07:04:53;-75
2023-06-27 07:04:55;-71
2023-06-27 07:04:56;-72
2023-06-27 07:04:56;-77
2023-06-27 07:04:58;-76
2023-06-27 07:05:01;-72
2023-06-27 07:05:01;-72
2023-06-27 07:05:01;-77
2023-06-27 07:05:03;-72
2023-06-27 07:05:04;-72
2023-06-27 07:05:06;-72
2023-06-27 07:05:06;-73
2023-06-27 07:05:06;-76
2023-06-27 07:05:09;-73
2023-06-27 07:05:09;-73
2023-06-27 07:05:12;-72
2023-06-27 07:05:12;-77
2023-06-27 07:05:14;-71
2023-06-27 07:05:14;-72
2023-06-27 07:05:17;-71
2023-06-27 07:05:17;-72
2023-06-27 07:05:17;-77
2023-06-27 07:05:20;-71
2023-06-27 07:05:20;-72
2023-06-27 07:05:20;-77
2023-06-27 07:05:22;-72
2023-06-27 07:05:22;-71
2023-06-27 07:05:22;-77
2023-06-27 07:05:25;-71
2023-06-27 07:05:25;-73
2023-06-27 07:05:25;-77
2023-06-27 07:05:28;-77
2023-06-27 07:05:30;-73
2023-06-27 07:05:30;-71
2023-06-27 07:05:30;-71
2023-06-27 07:05:31;-72
2023-06-27 07:05:31;-80
2023-06-27 07:05:31;-78
2023-06-27 07:05:36;-78
2023-06-27 07:05:36;-79
2023-06-27 07:05:36;-77
2023-06-27 07:05:37;-73
2023-06-27 07:05:50;-79
2023-06-27 07:05:50;-79
2023-06-27 07:06:03;-79
2023-06-27 07:06:13;-71
2023-06-27 07:06:13;-73
2023-06-27 07:06:16;-81
2023-06-27 07:06:17;-80
2023-06-27 07:06:17;-77
2023-06-27 07:06:21;-74
2023-06-27 07:06:21;-73
2023-06-27 07:06:22;-71
2023-06-27 07:06:22;-74
2023-06-27 07:06:22;-73
2023-06-27 07:06:22;-73
2023-06-27 07:06:22;-73
2023-06-27 07:06:27;-72
2023-06-27 07:06:27;-72
2023-06-27 07:06:27;-76
2023-06-27 07:06:29;-73
2023-06-27 07:06:30;-77
2023-06-27 07:06:32;-71
2023-06-27 07:06:32;-76
2023-06-27 07:06:35;-76
2023-06-27 07:06:35;-74
2023-06-27 07:06:35;-73
2023-06-27 07:06:36;-71
2023-06-27 07:06:36;-72
2023-06-27 07:06:40;-72
2023-06-27 07:06:40;-77
2023-06-27 07:06:48;-72
2023-06-27 07:06:48;-72
2023-06-27 07:06:51;-72
2023-06-27 07:06:51;-77
2023-06-27 07:06:53;-70
2023-06-27 07:06:54;-72
2023-06-27 07:06:54;-76
2023-06-27 07:06:56;-71
2023-06-27 07:06:56;-71
2023-06-27 07:06:56;-77
2023-06-27 07:06:59;-72
2023-06-27 07:06:59;-73
2023-06-27 07:06:59;-77
2023-06-27 07:07:02;-72
2023-06-27 07:07:02;-77
2023-06-27 07:07:07;-72
2023-06-27 07:07:07;-73
2023-06-27 07:07:10;-71
2023-06-27 07:07:10;-77
2023-06-27 07:07:15;-72
2023-06-27 07:07:15;-73
