Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1679644647.937209886;2023-03-24 07:57:27;-53;5.55, 15;0, 0;15.99382693
1679644647.958401460;2023-03-24 07:57:27;-53;5.55, 15;0, 0;15.99382693
1679644648.623470386;2023-03-24 07:57:28;-55;5.55, 15;0, 0;15.99382693
1679644648.740453738;2023-03-24 07:57:28;-55;5.55, 15;0, 0;15.99382693
1679644649.402695700;2023-03-24 07:57:29;-57;5.55, 15;0, 0;15.99382693
1679644649.548430496;2023-03-24 07:57:29;-61;5.55, 15;0, 0;15.99382693
1679644649.567582385;2023-03-24 07:57:29;-61;5.55, 15;0, 0;15.99382693
1679644649.678164904;2023-03-24 07:57:29;-64;5.55, 15;0, 0;15.99382693
1679644649.698428219;2023-03-24 07:57:29;-64;5.55, 15;0, 0;15.99382693
1679644649.849711774;2023-03-24 07:57:29;-62;5.55, 15;0, 0;15.99382693
1679644649.870106478;2023-03-24 07:57:29;-62;5.55, 15;0, 0;15.99382693
1679644654.185937808;2023-03-24 07:57:34;-54;5.55, 15;0, 0;15.99382693
1679644654.205673938;2023-03-24 07:57:34;-55;5.55, 15;0, 0;15.99382693
1679644654.590864586;2023-03-24 07:57:34;-55;5.55, 15;0, 0;15.99382693
1679644654.980997827;2023-03-24 07:57:34;-55;5.55, 15;0, 0;15.99382693
1679644655.001240845;2023-03-24 07:57:35;-56;5.55, 15;0, 0;15.99382693
1679644655.401707086;2023-03-24 07:57:35;-55;5.55, 15;0, 0;15.99382693
1679644655.421359808;2023-03-24 07:57:35;-53;5.55, 15;0, 0;15.99382693
1679644655.792254678;2023-03-24 07:57:35;-55;5.55, 15;0, 0;15.99382693
1679644655.812358696;2023-03-24 07:57:35;-55;5.55, 15;0, 0;15.99382693
1679644656.038277715;2023-03-24 07:57:36;-55;5.55, 15;0, 0;15.99382693
1679644656.060727974;2023-03-24 07:57:36;-56;5.55, 15;0, 0;15.99382693
1679644656.103254122;2023-03-24 07:57:36;-59;5.55, 15;0, 0;15.99382693
1679644657.272592047;2023-03-24 07:57:37;-55;5.55, 15;0, 0;15.99382693
1679644658.096089973;2023-03-24 07:57:38;-55;5.55, 15;0, 0;15.99382693
1679644658.115666676;2023-03-24 07:57:38;-55;5.55, 15;0, 0;15.99382693
1679644660.132025194;2023-03-24 07:57:40;-63;5.55, 15;0, 0;15.99382693
1679644660.264561749;2023-03-24 07:57:40;-51;5.55, 15;0, 0;15.99382693
1679644660.309572194;2023-03-24 07:57:40;-48;5.55, 15;0, 0;15.99382693
1679644660.352063157;2023-03-24 07:57:40;-47;5.55, 15;0, 0;15.99382693
1679644660.385803971;2023-03-24 07:57:40;-47;5.55, 15;0, 0;15.99382693
1679644660.440844508;2023-03-24 07:57:40;-55;5.55, 15;0, 0;15.99382693
1679644660.576196342;2023-03-24 07:57:40;-46;5.55, 15;0, 0;15.99382693
1679644660.595548656;2023-03-24 07:57:40;-47;5.55, 15;0, 0;15.99382693
1679644660.707301156;2023-03-24 07:57:40;-51;5.55, 15;0, 0;15.99382693
1679644663.792962062;2023-03-24 07:57:43;-57;5.55, 15;0, 0;15.99382693
1679644663.813629673;2023-03-24 07:57:43;-53;5.55, 15;0, 0;15.99382693
1679644664.001680229;2023-03-24 07:57:44;-53;5.55, 15;0, 0;15.99382693
1679644664.022251710;2023-03-24 07:57:44;-53;5.55, 15;0, 0;15.99382693
1679644664.992307876;2023-03-24 07:57:44;-55;5.55, 15;0, 0;15.99382693
