Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1679648596.564887218;2023-03-24 09:03:16;-47;10.55, 0;0, 0;10.55
1679648596.584307977;2023-03-24 09:03:16;-47;10.55, 0;0, 0;10.55
1679648597.338622254;2023-03-24 09:03:17;-49;10.55, 0;0, 0;10.55
1679648597.665664180;2023-03-24 09:03:17;-63;10.55, 0;0, 0;10.55
1679648598.142387810;2023-03-24 09:03:18;-46;10.55, 0;0, 0;10.55
1679648598.161687624;2023-03-24 09:03:18;-47;10.55, 0;0, 0;10.55
1679648598.498752883;2023-03-24 09:03:18;-49;10.55, 0;0, 0;10.55
1679648598.772396865;2023-03-24 09:03:18;-56;10.55, 0;0, 0;10.55
1679648598.791961846;2023-03-24 09:03:18;-56;10.55, 0;0, 0;10.55
1679648599.220225031;2023-03-24 09:03:19;-52;10.55, 0;0, 0;10.55
1679648602.541138566;2023-03-24 09:03:22;-49;10.55, 0;0, 0;10.55
1679648602.561089011;2023-03-24 09:03:22;-47;10.55, 0;0, 0;10.55
1679648603.336503806;2023-03-24 09:03:23;-49;10.55, 0;0, 0;10.55
1679648603.744968232;2023-03-24 09:03:23;-49;10.55, 0;0, 0;10.55
1679648604.161520436;2023-03-24 09:03:24;-48;10.55, 0;0, 0;10.55
1679648604.494955121;2023-03-24 09:03:24;-49;10.55, 0;0, 0;10.55
1679648604.514493176;2023-03-24 09:03:24;-49;10.55, 0;0, 0;10.55
1679648604.757447769;2023-03-24 09:03:24;-63;10.55, 0;0, 0;10.55
1679648604.776791583;2023-03-24 09:03:24;-64;10.55, 0;0, 0;10.55
1679648605.147884583;2023-03-24 09:03:25;-47;10.55, 0;0, 0;10.55
1679648605.495992546;2023-03-24 09:03:25;-66;10.55, 0;0, 0;10.55
1679648605.585197768;2023-03-24 09:03:25;-53;10.55, 0;0, 0;10.55
1679648605.628486861;2023-03-24 09:03:25;-48;10.55, 0;0, 0;10.55
1679648605.692821749;2023-03-24 09:03:25;-50;10.55, 0;0, 0;10.55
1679648605.717259879;2023-03-24 09:03:25;-52;10.55, 0;0, 0;10.55
1679648605.736625842;2023-03-24 09:03:25;-51;10.55, 0;0, 0;10.55
1679648605.780427972;2023-03-24 09:03:25;-55;10.55, 0;0, 0;10.55
1679648605.804771212;2023-03-24 09:03:25;-55;10.55, 0;0, 0;10.55
1679648609.164969988;2023-03-24 09:03:29;-47;10.55, 0;0, 0;10.55
1679648609.470141451;2023-03-24 09:03:29;-49;10.55, 0;0, 0;10.55
1679648609.491569099;2023-03-24 09:03:29;-49;10.55, 0;0, 0;10.55
1679648610.673397580;2023-03-24 09:03:30;-47;10.55, 0;0, 0;10.55
1679648610.876191358;2023-03-24 09:03:30;-47;10.55, 0;0, 0;10.55
1679648610.919766765;2023-03-24 09:03:30;-49;10.55, 0;0, 0;10.55
1679648610.963569932;2023-03-24 09:03:30;-55;10.55, 0;0, 0;10.55
1679648611.591315524;2023-03-24 09:03:31;-49;10.55, 0;0, 0;10.55
1679648611.613794487;2023-03-24 09:03:31;-47;10.55, 0;0, 0;10.55
1679648612.222361949;2023-03-24 09:03:32;-49;10.55, 0;0, 0;10.55
1679648612.243736153;2023-03-24 09:03:32;-49;10.55, 0;0, 0;10.55
1679648612.930089356;2023-03-24 09:03:32;-49;10.55, 0;0, 0;10.55
1679648613.685849467;2023-03-24 09:03:33;-49;10.55, 0;0, 0;10.55
1679648614.044129467;2023-03-24 09:03:34;-50;10.55, 0;0, 0;10.55
1679648614.063892393;2023-03-24 09:03:34;-49;10.55, 0;0, 0;10.55
1679648614.295077467;2023-03-24 09:03:34;-51;10.55, 0;0, 0;10.55
1679648614.314461448;2023-03-24 09:03:34;-51;10.55, 0;0, 0;10.55
1679648614.736894559;2023-03-24 09:03:34;-47;10.55, 0;0, 0;10.55
1679648614.978852244;2023-03-24 09:03:34;-65;10.55, 0;0, 0;10.55
1679648614.998108744;2023-03-24 09:03:34;17;10.55, 0;0, 0;10.55
1679648615.096313762;2023-03-24 09:03:35;-53;10.55, 0;0, 0;10.55
1679648615.116457855;2023-03-24 09:03:35;-52;10.55, 0;0, 0;10.55
1679648615.770078058;2023-03-24 09:03:35;-58;10.55, 0;0, 0;10.55
1679648615.793287614;2023-03-24 09:03:35;-59;10.55, 0;0, 0;10.55
1679648619.696484778;2023-03-24 09:03:39;-49;10.55, 0;0, 0;10.55
1679648619.959351815;2023-03-24 09:03:39;-48;10.55, 0;0, 0;10.55
1679648620.496134148;2023-03-24 09:03:40;-49;10.55, 0;0, 0;10.55
1679648620.586168722;2023-03-24 09:03:40;-55;10.55, 0;0, 0;10.55
1679648621.194401148;2023-03-24 09:03:41;-49;10.55, 0;0, 0;10.55
1679648622.411366814;2023-03-24 09:03:42;-49;10.55, 0;0, 0;10.55
1679648622.430406610;2023-03-24 09:03:42;-47;10.55, 0;0, 0;10.55
1679648622.821595147;2023-03-24 09:03:42;-49;10.55, 0;0, 0;10.55
1679648624.462265349;2023-03-24 09:03:44;-47;10.55, 0;0, 0;10.55
