Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1679643655.204758348;2023-03-24 07:40:55;-54;-5.55, 15;0, 0;15.99382693
1679643656.226885663;2023-03-24 07:40:56;-65;-5.55, 15;0, 0;15.99382693
1679643660.202140475;2023-03-24 07:41:00;-55;-5.55, 15;0, 0;15.99382693
1679643660.379993697;2023-03-24 07:41:00;-54;-5.55, 15;0, 0;15.99382693
1679643660.400710290;2023-03-24 07:41:00;-53;-5.55, 15;0, 0;15.99382693
1679643661.123159789;2023-03-24 07:41:01;-55;-5.55, 15;0, 0;15.99382693
1679643661.321924197;2023-03-24 07:41:01;-55;-5.55, 15;0, 0;15.99382693
1679643661.908255567;2023-03-24 07:41:01;-55;-5.55, 15;0, 0;15.99382693
1679643661.928381900;2023-03-24 07:41:01;-54;-5.55, 15;0, 0;15.99382693
1679643662.127005659;2023-03-24 07:41:02;-53;-5.55, 15;0, 0;15.99382693
1679643662.147457715;2023-03-24 07:41:02;-55;-5.55, 15;0, 0;15.99382693
1679643662.221770178;2023-03-24 07:41:02;-53;-5.55, 15;0, 0;15.99382693
1679643662.310672937;2023-03-24 07:41:02;-62;-5.55, 15;0, 0;15.99382693
1679643664.138772621;2023-03-24 07:41:04;-54;-5.55, 15;0, 0;15.99382693
1679643664.160088676;2023-03-24 07:41:04;-53;-5.55, 15;0, 0;15.99382693
1679643664.907024509;2023-03-24 07:41:04;-56;-5.55, 15;0, 0;15.99382693
1679643664.926857157;2023-03-24 07:41:04;-56;-5.55, 15;0, 0;15.99382693
1679643665.261992379;2023-03-24 07:41:05;-63;-5.55, 15;0, 0;15.99382693
1679643665.531986824;2023-03-24 07:41:05;-61;-5.55, 15;0, 0;15.99382693
1679643665.551326083;2023-03-24 07:41:05;-60;-5.55, 15;0, 0;15.99382693
1679643681.788824740;2023-03-24 07:41:21;-55;-5.55, 15;0, 0;15.99382693
1679643681.817237962;2023-03-24 07:41:21;-54;-5.55, 15;0, 0;15.99382693
1679643681.889031888;2023-03-24 07:41:21;-54;-5.55, 15;0, 0;15.99382693
1679643681.909368444;2023-03-24 07:41:21;-52;-5.55, 15;0, 0;15.99382693
1679643692.628094178;2023-03-24 07:41:32;-56;-5.55, 15;0, 0;15.99382693
1679643692.648408863;2023-03-24 07:41:32;-53;-5.55, 15;0, 0;15.99382693
1679643693.534808437;2023-03-24 07:41:33;-55;-5.55, 15;0, 0;15.99382693
1679643693.671363659;2023-03-24 07:41:33;-54;-5.55, 15;0, 0;15.99382693
1679643694.359881418;2023-03-24 07:41:34;-63;-5.55, 15;0, 0;15.99382693
1679643694.654801751;2023-03-24 07:41:34;-62;-5.55, 15;0, 0;15.99382693
1679643694.737338491;2023-03-24 07:41:34;17;-5.55, 15;0, 0;15.99382693
1679643695.652466861;2023-03-24 07:41:35;-55;-5.55, 15;0, 0;15.99382693
1679643695.671778806;2023-03-24 07:41:35;-55;-5.55, 15;0, 0;15.99382693
1679643695.803544491;2023-03-24 07:41:35;-56;-5.55, 15;0, 0;15.99382693
1679643695.822847509;2023-03-24 07:41:35;-56;-5.55, 15;0, 0;15.99382693
1679643699.098220211;2023-03-24 07:41:39;-54;-5.55, 15;0, 0;15.99382693
1679643699.512353803;2023-03-24 07:41:39;-55;-5.55, 15;0, 0;15.99382693
1679643699.948325933;2023-03-24 07:41:39;-63;-5.55, 15;0, 0;15.99382693
1679643699.967653155;2023-03-24 07:41:39;-63;-5.55, 15;0, 0;15.99382693
1679643701.072341599;2023-03-24 07:41:41;-55;-5.55, 15;0, 0;15.99382693
1679643701.091603247;2023-03-24 07:41:41;-53;-5.55, 15;0, 0;15.99382693
1679643701.306662247;2023-03-24 07:41:41;-54;-5.55, 15;0, 0;15.99382693
1679643701.328836358;2023-03-24 07:41:41;-55;-5.55, 15;0, 0;15.99382693
1679643703.089875931;2023-03-24 07:41:43;-55;-5.55, 15;0, 0;15.99382693
1679643703.110113431;2023-03-24 07:41:43;-54;-5.55, 15;0, 0;15.99382693
1679643704.737502337;2023-03-24 07:41:44;-60;-5.55, 15;0, 0;15.99382693
1679643704.757977393;2023-03-24 07:41:44;-67;-5.55, 15;0, 0;15.99382693
1679643705.104931559;2023-03-24 07:41:45;-55;-5.55, 15;0, 0;15.99382693
1679643705.332837744;2023-03-24 07:41:45;-55;-5.55, 15;0, 0;15.99382693
1679643705.352105189;2023-03-24 07:41:45;-56;-5.55, 15;0, 0;15.99382693
1679643708.771197687;2023-03-24 07:41:48;-56;-5.55, 15;0, 0;15.99382693
1679643709.177646020;2023-03-24 07:41:49;-56;-5.55, 15;0, 0;15.99382693
1679643709.198692353;2023-03-24 07:41:49;-54;-5.55, 15;0, 0;15.99382693
1679643709.627957834;2023-03-24 07:41:49;-55;-5.55, 15;0, 0;15.99382693
1679643709.648872279;2023-03-24 07:41:49;-54;-5.55, 15;0, 0;15.99382693
1679643710.460103075;2023-03-24 07:41:50;-55;-5.55, 15;0, 0;15.99382693
1679643710.480290797;2023-03-24 07:41:50;-54;-5.55, 15;0, 0;15.99382693
1679643710.880320574;2023-03-24 07:41:50;-55;-5.55, 15;0, 0;15.99382693
1679643711.119727482;2023-03-24 07:41:51;-63;-5.55, 15;0, 0;15.99382693
1679643711.139053148;2023-03-24 07:41:51;-63;-5.55, 15;0, 0;15.99382693
1679643711.661544667;2023-03-24 07:41:51;-55;-5.55, 15;0, 0;15.99382693
1679643712.025030740;2023-03-24 07:41:52;-55;-5.55, 15;0, 0;15.99382693
1679643712.044842926;2023-03-24 07:41:52;-53;-5.55, 15;0, 0;15.99382693
1679643712.440362592;2023-03-24 07:41:52;-56;-5.55, 15;0, 0;15.99382693
1679643712.838810240;2023-03-24 07:41:52;-55;-5.55, 15;0, 0;15.99382693
1679643712.859000203;2023-03-24 07:41:52;-53;-5.55, 15;0, 0;15.99382693
1679643713.236392814;2023-03-24 07:41:53;-56;-5.55, 15;0, 0;15.99382693
1679643713.669964388;2023-03-24 07:41:53;-56;-5.55, 15;0, 0;15.99382693
1679643713.689333610;2023-03-24 07:41:53;-61;-5.55, 15;0, 0;15.99382693
1679643713.923771128;2023-03-24 07:41:53;-65;-5.55, 15;0, 0;15.99382693
1679643714.332504258;2023-03-24 07:41:54;-60;-5.55, 15;0, 0;15.99382693
1679643714.993686553;2023-03-24 07:41:54;-55;-5.55, 15;0, 0;15.99382693
1679643715.013370646;2023-03-24 07:41:55;-54;-5.55, 15;0, 0;15.99382693
1679643718.578979199;2023-03-24 07:41:58;-54;-5.55, 15;0, 0;15.99382693
1679643718.599028477;2023-03-24 07:41:58;-53;-5.55, 15;0, 0;15.99382693
1679643718.988801088;2023-03-24 07:41:58;-56;-5.55, 15;0, 0;15.99382693
1679643719.364885495;2023-03-24 07:41:59;-56;-5.55, 15;0, 0;15.99382693
1679643720.158945069;2023-03-24 07:42:00;-54;-5.55, 15;0, 0;15.99382693
1679643720.178362958;2023-03-24 07:42:00;-52;-5.55, 15;0, 0;15.99382693
1679643720.586067680;2023-03-24 07:42:00;-55;-5.55, 15;0, 0;15.99382693
1679643720.930576383;2023-03-24 07:42:00;-55;-5.55, 15;0, 0;15.99382693
1679643720.951300235;2023-03-24 07:42:00;-54;-5.55, 15;0, 0;15.99382693
1679643721.348859327;2023-03-24 07:42:01;-54;-5.55, 15;0, 0;15.99382693
1679643721.368283087;2023-03-24 07:42:01;-54;-5.55, 15;0, 0;15.99382693
1679643721.748184753;2023-03-24 07:42:01;-55;-5.55, 15;0, 0;15.99382693
1679643722.150022494;2023-03-24 07:42:02;-55;-5.55, 15;0, 0;15.99382693
1679643722.241048531;2023-03-24 07:42:02;-54;-5.55, 15;0, 0;15.99382693
1679643722.307314345;2023-03-24 07:42:02;-62;-5.55, 15;0, 0;15.99382693
1679643722.326653994;2023-03-24 07:42:02;-62;-5.55, 15;0, 0;15.99382693
1679643722.959096864;2023-03-24 07:42:02;-55;-5.55, 15;0, 0;15.99382693
1679643722.978339049;2023-03-24 07:42:02;-55;-5.55, 15;0, 0;15.99382693
1679643723.452570548;2023-03-24 07:42:03;-62;-5.55, 15;0, 0;15.99382693
1679643723.471332845;2023-03-24 07:42:03;-59;-5.55, 15;0, 0;15.99382693
1679643723.715102308;2023-03-24 07:42:03;-59;-5.55, 15;0, 0;15.99382693
1679643724.872982251;2023-03-24 07:42:04;-55;-5.55, 15;0, 0;15.99382693
1679643729.500919582;2023-03-24 07:42:09;-56;-5.55, 15;0, 0;15.99382693
1679643729.770150415;2023-03-24 07:42:09;-55;-5.55, 15;0, 0;15.99382693
1679643730.946319081;2023-03-24 07:42:10;-55;-5.55, 15;0, 0;15.99382693
1679643730.966087896;2023-03-24 07:42:10;-55;-5.55, 15;0, 0;15.99382693
1679643731.182638636;2023-03-24 07:42:11;-54;-5.55, 15;0, 0;15.99382693
1679643731.202202285;2023-03-24 07:42:11;-53;-5.55, 15;0, 0;15.99382693
1679643732.412668025;2023-03-24 07:42:12;-55;-5.55, 15;0, 0;15.99382693
1679643732.639318376;2023-03-24 07:42:12;-56;-5.55, 15;0, 0;15.99382693
1679643733.093834506;2023-03-24 07:42:13;-55;-5.55, 15;0, 0;15.99382693
1679643733.452407598;2023-03-24 07:42:13;-62;-5.55, 15;0, 0;15.99382693
1679643733.496180820;2023-03-24 07:42:13;-55;-5.55, 15;0, 0;15.99382693
1679643733.539895728;2023-03-24 07:42:13;-56;-5.55, 15;0, 0;15.99382693
1679643733.584921987;2023-03-24 07:42:13;-60;-5.55, 15;0, 0;15.99382693
1679643733.716140413;2023-03-24 07:42:13;-64;-5.55, 15;0, 0;15.99382693
1679643733.759941913;2023-03-24 07:42:13;-61;-5.55, 15;0, 0;15.99382693
1679643737.875196244;2023-03-24 07:42:17;-56;-5.55, 15;0, 0;15.99382693
1679643738.233361114;2023-03-24 07:42:18;-55;-5.55, 15;0, 0;15.99382693
1679643738.251467854;2023-03-24 07:42:18;-53;-5.55, 15;0, 0;15.99382693
1679643738.651494910;2023-03-24 07:42:18;-57;-5.55, 15;0, 0;15.99382693
1679643738.670904947;2023-03-24 07:42:18;-55;-5.55, 15;0, 0;15.99382693
1679643739.013762706;2023-03-24 07:42:19;-55;-5.55, 15;0, 0;15.99382693
1679643739.032580521;2023-03-24 07:42:19;-53;-5.55, 15;0, 0;15.99382693
1679643739.057618169;2023-03-24 07:42:19;-58;-5.55, 15;0, 0;15.99382693
1679643739.101293743;2023-03-24 07:42:19;-62;-5.55, 15;0, 0;15.99382693
1679643740.171220872;2023-03-24 07:42:20;-55;-5.55, 15;0, 0;15.99382693
1679643740.192734983;2023-03-24 07:42:20;-53;-5.55, 15;0, 0;15.99382693
1679643740.441565464;2023-03-24 07:42:20;-53;-5.55, 15;0, 0;15.99382693
1679643741.930192167;2023-03-24 07:42:21;-55;-5.55, 15;0, 0;15.99382693
1679643742.359618056;2023-03-24 07:42:22;-56;-5.55, 15;0, 0;15.99382693
1679643742.378875185;2023-03-24 07:42:22;-55;-5.55, 15;0, 0;15.99382693
1679643742.730352574;2023-03-24 07:42:22;-56;-5.55, 15;0, 0;15.99382693
1679643742.751496130;2023-03-24 07:42:22;-54;-5.55, 15;0, 0;15.99382693
1679643742.990275722;2023-03-24 07:42:22;-66;-5.55, 15;0, 0;15.99382693
1679643743.010471500;2023-03-24 07:42:23;-61;-5.55, 15;0, 0;15.99382693
1679643743.425273999;2023-03-24 07:42:23;-59;-5.55, 15;0, 0;15.99382693
1679643744.075252869;2023-03-24 07:42:24;-54;-5.55, 15;0, 0;15.99382693
1679643744.094793906;2023-03-24 07:42:24;-55;-5.55, 15;0, 0;15.99382693
1679643747.430376516;2023-03-24 07:42:27;-54;-5.55, 15;0, 0;15.99382693
1679643747.451920293;2023-03-24 07:42:27;-55;-5.55, 15;0, 0;15.99382693
1679643748.046763645;2023-03-24 07:42:28;-55;-5.55, 15;0, 0;15.99382693
1679643748.066220386;2023-03-24 07:42:28;-55;-5.55, 15;0, 0;15.99382693
1679643748.220101293;2023-03-24 07:42:28;-53;-5.55, 15;0, 0;15.99382693
1679643748.241647052;2023-03-24 07:42:28;-54;-5.55, 15;0, 0;15.99382693
1679643748.870273700;2023-03-24 07:42:28;-55;-5.55, 15;0, 0;15.99382693
1679643748.892977441;2023-03-24 07:42:28;-52;-5.55, 15;0, 0;15.99382693
1679643749.020350978;2023-03-24 07:42:29;-55;-5.55, 15;0, 0;15.99382693
1679643749.678085570;2023-03-24 07:42:29;-53;-5.55, 15;0, 0;15.99382693
1679643749.845826977;2023-03-24 07:42:29;-53;-5.55, 15;0, 0;15.99382693
1679643750.255643718;2023-03-24 07:42:30;-55;-5.55, 15;0, 0;15.99382693
1679643750.278846366;2023-03-24 07:42:30;-58;-5.55, 15;0, 0;15.99382693
1679643750.321337051;2023-03-24 07:42:30;-62;-5.55, 15;0, 0;15.99382693
1679643751.260331421;2023-03-24 07:42:31;-55;-5.55, 15;0, 0;15.99382693
1679643751.280414032;2023-03-24 07:42:31;-53;-5.55, 15;0, 0;15.99382693
1679643751.317061365;2023-03-24 07:42:31;-53;-5.55, 15;0, 0;15.99382693
1679643752.052871828;2023-03-24 07:42:32;-55;-5.55, 15;0, 0;15.99382693
1679643752.071942402;2023-03-24 07:42:32;-54;-5.55, 15;0, 0;15.99382693
1679643753.044089605;2023-03-24 07:42:33;17;-5.55, 15;0, 0;15.99382693
1679643754.165350049;2023-03-24 07:42:34;-60;-5.55, 15;0, 0;15.99382693
1679643754.185562845;2023-03-24 07:42:34;-59;-5.55, 15;0, 0;15.99382693
1679643757.621699435;2023-03-24 07:42:37;-53;-5.55, 15;0, 0;15.99382693
1679643758.423121750;2023-03-24 07:42:38;-55;-5.55, 15;0, 0;15.99382693
1679643758.546716231;2023-03-24 07:42:38;-56;-5.55, 15;0, 0;15.99382693
1679643758.565412065;2023-03-24 07:42:38;-54;-5.55, 15;0, 0;15.99382693
1679643759.218361083;2023-03-24 07:42:39;-54;-5.55, 15;0, 0;15.99382693
1679643759.369061934;2023-03-24 07:42:39;-54;-5.55, 15;0, 0;15.99382693
1679643759.957947638;2023-03-24 07:42:39;-62;-5.55, 15;0, 0;15.99382693
1679643760.800707397;2023-03-24 07:42:40;-55;-5.55, 15;0, 0;15.99382693
1679643760.820371656;2023-03-24 07:42:40;-56;-5.55, 15;0, 0;15.99382693
1679643760.910830119;2023-03-24 07:42:40;-53;-5.55, 15;0, 0;15.99382693
1679643761.654335840;2023-03-24 07:42:41;-57;-5.55, 15;0, 0;15.99382693
1679643761.676664303;2023-03-24 07:42:41;-53;-5.55, 15;0, 0;15.99382693
1679643761.770646192;2023-03-24 07:42:41;-54;-5.55, 15;0, 0;15.99382693
1679643761.790373081;2023-03-24 07:42:41;-53;-5.55, 15;0, 0;15.99382693
1679643767.460071170;2023-03-24 07:42:47;-55;-5.55, 15;0, 0;15.99382693
1679643769.291707336;2023-03-24 07:42:49;-55;-5.55, 15;0, 0;15.99382693
1679643769.313197577;2023-03-24 07:42:49;-53;-5.55, 15;0, 0;15.99382693
1679643769.881750484;2023-03-24 07:42:49;-55;-5.55, 15;0, 0;15.99382693
1679643770.130742039;2023-03-24 07:42:50;-56;-5.55, 15;0, 0;15.99382693
1679643771.086609483;2023-03-24 07:42:51;-55;-5.55, 15;0, 0;15.99382693
1679643771.175258094;2023-03-24 07:42:51;-63;-5.55, 15;0, 0;15.99382693
1679643771.890134945;2023-03-24 07:42:51;-65;-5.55, 15;0, 0;15.99382693
1679643772.404281371;2023-03-24 07:42:52;-59;-5.55, 15;0, 0;15.99382693
1679643772.424667371;2023-03-24 07:42:52;-59;-5.55, 15;0, 0;15.99382693
1679643772.655587612;2023-03-24 07:42:52;-67;-5.55, 15;0, 0;15.99382693
1679643772.674931130;2023-03-24 07:42:52;-66;-5.55, 15;0, 0;15.99382693
1679643773.431818241;2023-03-24 07:42:53;-60;-5.55, 15;0, 0;15.99382693
1679643773.451167370;2023-03-24 07:42:53;-59;-5.55, 15;0, 0;15.99382693
1679643776.569305054;2023-03-24 07:42:56;-56;-5.55, 15;0, 0;15.99382693
1679643776.589356313;2023-03-24 07:42:56;-55;-5.55, 15;0, 0;15.99382693
1679643776.769087776;2023-03-24 07:42:56;-62;-5.55, 15;0, 0;15.99382693
1679643777.304362053;2023-03-24 07:42:57;-55;-5.55, 15;0, 0;15.99382693
1679643777.731031849;2023-03-24 07:42:57;-56;-5.55, 15;0, 0;15.99382693
1679643778.154703034;2023-03-24 07:42:58;-55;-5.55, 15;0, 0;15.99382693
1679643778.544586404;2023-03-24 07:42:58;-55;-5.55, 15;0, 0;15.99382693
1679643779.344106348;2023-03-24 07:42:59;-55;-5.55, 15;0, 0;15.99382693
1679643779.365594589;2023-03-24 07:42:59;-54;-5.55, 15;0, 0;15.99382693
1679643779.749385644;2023-03-24 07:42:59;-56;-5.55, 15;0, 0;15.99382693
1679643780.159749885;2023-03-24 07:43:00;-52;-5.55, 15;0, 0;15.99382693
1679643780.568109848;2023-03-24 07:43:00;-55;-5.55, 15;0, 0;15.99382693
1679643780.934312422;2023-03-24 07:43:00;-55;-5.55, 15;0, 0;15.99382693
1679643781.376528662;2023-03-24 07:43:01;-56;-5.55, 15;0, 0;15.99382693
1679643782.010681625;2023-03-24 07:43:02;-61;-5.55, 15;0, 0;15.99382693
1679643782.031035754;2023-03-24 07:43:02;-61;-5.55, 15;0, 0;15.99382693
1679643782.479190365;2023-03-24 07:43:02;-65;-5.55, 15;0, 0;15.99382693
1679643782.504459495;2023-03-24 07:43:02;17;-5.55, 15;0, 0;15.99382693
1679643782.548457550;2023-03-24 07:43:02;-59;-5.55, 15;0, 0;15.99382693
1679643782.590439050;2023-03-24 07:43:02;-55;-5.55, 15;0, 0;15.99382693
1679643782.632929754;2023-03-24 07:43:02;-54;-5.55, 15;0, 0;15.99382693
1679643782.676625291;2023-03-24 07:43:02;-61;-5.55, 15;0, 0;15.99382693
1679643782.720430087;2023-03-24 07:43:02;-60;-5.55, 15;0, 0;15.99382693
1679643782.990606420;2023-03-24 07:43:02;-53;-5.55, 15;0, 0;15.99382693
