Timestamp;Date ISO;Rx Power [dBm]
1679666076.092426248;2023-03-24 13:54:36;-61
1679666076.114667655;2023-03-24 13:54:36;-61
1679666076.812797470;2023-03-24 13:54:36;-60
1679666076.835299785;2023-03-24 13:54:36;-60
1679666077.551662562;2023-03-24 13:54:37;-60
1679666078.231578339;2023-03-24 13:54:38;-60
1679666078.269070728;2023-03-24 13:54:38;-59
1679666078.289147747;2023-03-24 13:54:38;-59
1679666079.027870487;2023-03-24 13:54:39;-61
1679666079.711992024;2023-03-24 13:54:39;-61
1679666079.730501505;2023-03-24 13:54:39;-60
1679666080.100595097;2023-03-24 13:54:40;-62
1679666080.143885227;2023-03-24 13:54:40;-67
1679666081.246779837;2023-03-24 13:54:41;-62
1679666081.657291115;2023-03-24 13:54:41;-57
1679666086.305403501;2023-03-24 13:54:46;-60
1679666086.329150075;2023-03-24 13:54:46;-58
1679666087.869869037;2023-03-24 13:54:47;-60
1679666088.850933981;2023-03-24 13:54:48;-61
1679666088.871706370;2023-03-24 13:54:48;-61
1679666090.721748184;2023-03-24 13:54:50;-61
1679666090.740461776;2023-03-24 13:54:50;-61
1679666091.170979461;2023-03-24 13:54:51;-61
1679666091.338983628;2023-03-24 13:54:51;-66
1679666091.382876054;2023-03-24 13:54:51;-61
1679666091.447075091;2023-03-24 13:54:51;-57
1679666091.518487313;2023-03-24 13:54:51;-59
1679666092.034615868;2023-03-24 13:54:52;-59
1679666096.402264051;2023-03-24 13:54:56;-60
1679666096.423054254;2023-03-24 13:54:56;-56
1679666096.894054902;2023-03-24 13:54:56;-59
1679666096.937815624;2023-03-24 13:54:56;-62
1679666096.981561439;2023-03-24 13:54:56;-67
1679666097.574770976;2023-03-24 13:54:57;-61
1679666097.595540217;2023-03-24 13:54:57;-61
1679666098.040955476;2023-03-24 13:54:58;-61
1679666098.058139994;2023-03-24 13:54:58;-59
1679666098.650624623;2023-03-24 13:54:58;-60
1679666098.670145364;2023-03-24 13:54:58;-61
1679666098.958052808;2023-03-24 13:54:58;-78
1679666100.121801197;2023-03-24 13:55:00;-61
1679666101.112082011;2023-03-24 13:55:01;-58
1679666101.324363566;2023-03-24 13:55:01;-57
1679666102.170567344;2023-03-24 13:55:02;-53
1679666102.340587306;2023-03-24 13:55:02;-59
1679666102.360102992;2023-03-24 13:55:02;-61
1679666105.920282323;2023-03-24 13:55:05;-63
1679666106.736441378;2023-03-24 13:55:06;-60
1679666106.758488841;2023-03-24 13:55:06;-61
1679666106.852494711;2023-03-24 13:55:06;-59
1679666106.874893600;2023-03-24 13:55:06;-60
1679666107.557259637;2023-03-24 13:55:07;-60
1679666107.579349007;2023-03-24 13:55:07;-61
1679666107.662768859;2023-03-24 13:55:07;-60
1679666107.682108970;2023-03-24 13:55:07;-59
1679666108.176643507;2023-03-24 13:55:08;-61
1679666108.199133710;2023-03-24 13:55:08;-62
1679666108.241658803;2023-03-24 13:55:08;-67
1679666109.219846062;2023-03-24 13:55:09;-60
1679666110.164383117;2023-03-24 13:55:10;-77
1679666112.206941356;2023-03-24 13:55:12;-59
1679666112.226878615;2023-03-24 13:55:12;-59
1679666115.748403539;2023-03-24 13:55:15;-61
1679666116.575414390;2023-03-24 13:55:16;-59
1679666116.593260113;2023-03-24 13:55:16;-59
1679666117.392301020;2023-03-24 13:55:17;-61
1679666117.498888594;2023-03-24 13:55:17;-62
1679666117.518433538;2023-03-24 13:55:17;-59
1679666118.189162927;2023-03-24 13:55:18;-61
1679666118.320910278;2023-03-24 13:55:18;-58
1679666118.342026834;2023-03-24 13:55:18;-59
1679666119.010750833;2023-03-24 13:55:19;-61
1679666119.152116445;2023-03-24 13:55:19;-59
1679666119.358007055;2023-03-24 13:55:19;-61
1679666121.699296795;2023-03-24 13:55:21;-59
1679666125.007077200;2023-03-24 13:55:25;-59
1679666125.094290422;2023-03-24 13:55:25;-58
1679666125.113651237;2023-03-24 13:55:25;-58
1679666125.248243737;2023-03-24 13:55:25;-61
1679666130.494598438;2023-03-24 13:55:30;-59
1679666130.516031716;2023-03-24 13:55:30;-59
1679666131.611835826;2023-03-24 13:55:31;-59
1679666131.667596844;2023-03-24 13:55:31;-58
1679666132.771470325;2023-03-24 13:55:32;-62
1679666132.853686899;2023-03-24 13:55:32;-61
1679666132.873294677;2023-03-24 13:55:32;-59
1679666133.870983510;2023-03-24 13:55:33;-63
1679666133.892102288;2023-03-24 13:55:33;-64
1679666134.053356380;2023-03-24 13:55:34;-61
1679666134.556905176;2023-03-24 13:55:34;-62
1679666134.576201269;2023-03-24 13:55:34;-62
1679666134.620156806;2023-03-24 13:55:34;-60
1679666134.708790657;2023-03-24 13:55:34;-59
1679666135.310871009;2023-03-24 13:55:35;-63
1679666135.703416749;2023-03-24 13:55:35;-52
1679666135.723003138;2023-03-24 13:55:35;-54
1679666139.775014395;2023-03-24 13:55:39;-62
1679666139.794844821;2023-03-24 13:55:39;-62
1679666139.932249414;2023-03-24 13:55:39;-59
1679666140.116946173;2023-03-24 13:55:40;-62
1679666140.834014469;2023-03-24 13:55:40;-60
1679666140.853883654;2023-03-24 13:55:40;-60
1679666141.085129172;2023-03-24 13:55:41;-59
1679666141.104467931;2023-03-24 13:55:41;-58
1679666142.149959857;2023-03-24 13:55:42;-60
1679666142.411025394;2023-03-24 13:55:42;-59
1679666143.329846449;2023-03-24 13:55:43;-59
1679666143.349761393;2023-03-24 13:55:43;-60
1679666144.899763540;2023-03-24 13:55:44;-59
1679666145.082257929;2023-03-24 13:55:45;-63
1679666145.185983836;2023-03-24 13:55:45;-58
1679666145.205263522;2023-03-24 13:55:45;-59
1679666145.346004984;2023-03-24 13:55:45;-54
1679666145.365360503;2023-03-24 13:55:45;-53
1679666148.992301242;2023-03-24 13:55:48;-63
1679666149.116350279;2023-03-24 13:55:49;-62
1679666149.769790371;2023-03-24 13:55:49;-61
1679666149.789092260;2023-03-24 13:55:49;-61
1679666149.931069389;2023-03-24 13:55:49;-61
1679666149.953980297;2023-03-24 13:55:49;-60
1679666150.734835907;2023-03-24 13:55:50;-61
1679666150.755227611;2023-03-24 13:55:50;-61
1679666151.343821611;2023-03-24 13:55:51;-61
1679666151.389726666;2023-03-24 13:55:51;-62
1679666151.409004351;2023-03-24 13:55:51;-62
1679666151.433306592;2023-03-24 13:55:51;-67
1679666153.179859795;2023-03-24 13:55:53;-61
1679666153.201062906;2023-03-24 13:55:53;-61
1679666154.353769164;2023-03-24 13:55:54;-57
1679666154.373063831;2023-03-24 13:55:54;-58
1679666155.589860219;2023-03-24 13:55:55;17
1679666155.609406386;2023-03-24 13:55:55;-59
1679666158.676737810;2023-03-24 13:55:58;-60
1679666158.695241162;2023-03-24 13:55:58;-60
1679666159.682351920;2023-03-24 13:55:59;-61
1679666159.706649013;2023-03-24 13:55:59;-61
1679666159.836164494;2023-03-24 13:55:59;-61
1679666160.620172586;2023-03-24 13:56:00;-59
1679666161.309019845;2023-03-24 13:56:01;-61
1679666161.336103771;2023-03-24 13:56:01;-61
1679666162.132968271;2023-03-24 13:56:02;-60
1679666162.264194252;2023-03-24 13:56:02;-61
1679666162.927498400;2023-03-24 13:56:02;-62
1679666163.043631381;2023-03-24 13:56:03;-60
1679666163.698431751;2023-03-24 13:56:03;-61
1679666163.742184992;2023-03-24 13:56:03;-67
1679666163.805989455;2023-03-24 13:56:03;-65
1679666165.144883028;2023-03-24 13:56:05;-60
1679666165.164237195;2023-03-24 13:56:05;-60
1679666168.232482526;2023-03-24 13:56:08;-60
1679666169.264730211;2023-03-24 13:56:09;-60
1679666169.308575878;2023-03-24 13:56:09;-61
1679666169.352467600;2023-03-24 13:56:09;-67
1679666171.184854062;2023-03-24 13:56:11;-60
1679666171.532862247;2023-03-24 13:56:11;-60
1679666171.991659561;2023-03-24 13:56:11;-60
1679666172.802833838;2023-03-24 13:56:12;-60
1679666172.825485875;2023-03-24 13:56:12;-60
1679666174.281279375;2023-03-24 13:56:14;-62
1679666174.553973356;2023-03-24 13:56:14;-59
1679666174.573276041;2023-03-24 13:56:14;-60
1679666178.282582594;2023-03-24 13:56:18;-60
1679666178.301881446;2023-03-24 13:56:18;-60
1679666178.655076391;2023-03-24 13:56:18;-60
1679666179.071332409;2023-03-24 13:56:19;-60
1679666179.091078446;2023-03-24 13:56:19;-60
1679666179.442120686;2023-03-24 13:56:19;-61
1679666179.464985446;2023-03-24 13:56:19;-60
1679666179.871337760;2023-03-24 13:56:19;-61
1679666179.891163556;2023-03-24 13:56:19;-62
1679666180.271352593;2023-03-24 13:56:20;-61
1679666180.290779186;2023-03-24 13:56:20;-60
1679666180.521089352;2023-03-24 13:56:20;-60
1679666181.877144703;2023-03-24 13:56:21;-60
1679666183.088019480;2023-03-24 13:56:23;-61
1679666183.817838739;2023-03-24 13:56:23;-56
1679666183.836538999;2023-03-24 13:56:23;-57
1679666184.188914461;2023-03-24 13:56:24;-63
1679666184.583566831;2023-03-24 13:56:24;-53
1679666187.971398941;2023-03-24 13:56:27;-60
1679666188.731403662;2023-03-24 13:56:28;-61
1679666188.902389884;2023-03-24 13:56:28;-61
1679666188.926163292;2023-03-24 13:56:28;-61
1679666190.006368273;2023-03-24 13:56:30;-60
1679666190.026689365;2023-03-24 13:56:30;-61
1679666190.525229439;2023-03-24 13:56:30;-61
1679666190.543914680;2023-03-24 13:56:30;-59
1679666191.700149920;2023-03-24 13:56:31;-60
1679666192.307696771;2023-03-24 13:56:32;-60
1679666192.327659882;2023-03-24 13:56:32;-60
1679666194.213928418;2023-03-24 13:56:34;-54
1679666194.237189140;2023-03-24 13:56:34;-53
1679666197.281979102;2023-03-24 13:56:37;-60
1679666197.301658620;2023-03-24 13:56:37;-61
1679666197.749788453;2023-03-24 13:56:37;-60
1679666199.338973637;2023-03-24 13:56:39;-61
1679666199.358453637;2023-03-24 13:56:39;-60
1679666199.685294526;2023-03-24 13:56:39;-60
1679666200.070080063;2023-03-24 13:56:40;-60
1679666200.113150489;2023-03-24 13:56:40;-61
1679666200.176324785;2023-03-24 13:56:40;-67
1679666201.129636340;2023-03-24 13:56:41;-61
1679666201.425534636;2023-03-24 13:56:41;-58
1679666203.116722191;2023-03-24 13:56:43;-58
1679666203.134754357;2023-03-24 13:56:43;-57
1679666203.538761042;2023-03-24 13:56:43;-59
1679666207.392829355;2023-03-24 13:56:47;-61
1679666207.760814355;2023-03-24 13:56:47;-61
1679666208.182817614;2023-03-24 13:56:48;-75
1679666208.566512428;2023-03-24 13:56:48;-61
1679666208.587819669;2023-03-24 13:56:48;-61
1679666208.996878447;2023-03-24 13:56:48;-61
1679666209.017849669;2023-03-24 13:56:49;-61
1679666209.396027057;2023-03-24 13:56:49;-60
1679666209.839653705;2023-03-24 13:56:49;-60
1679666210.649120297;2023-03-24 13:56:50;-60
1679666210.669294668;2023-03-24 13:56:50;-61
1679666211.063957501;2023-03-24 13:56:51;-61
1679666211.307617667;2023-03-24 13:56:51;-61
1679666211.327077630;2023-03-24 13:56:51;-62
1679666211.370699908;2023-03-24 13:56:51;-67
1679666212.605040204;2023-03-24 13:56:52;-58
1679666212.904622703;2023-03-24 13:56:52;-57
1679666216.926453960;2023-03-24 13:56:56;-62
1679666216.945763553;2023-03-24 13:56:56;-61
1679666216.970160886;2023-03-24 13:56:56;-67
1679666216.989632608;2023-03-24 13:56:56;-67
1679666217.610076127;2023-03-24 13:56:57;-60
1679666217.631667701;2023-03-24 13:56:57;-60
1679666218.121512126;2023-03-24 13:56:58;-60
1679666218.741676089;2023-03-24 13:56:58;-61
1679666218.980527848;2023-03-24 13:56:58;-61
1679666218.999861792;2023-03-24 13:56:58;-59
1679666219.784540051;2023-03-24 13:56:59;-60
1679666220.198243366;2023-03-24 13:57:00;-61
1679666220.219845977;2023-03-24 13:57:00;-61
1679666220.608145310;2023-03-24 13:57:00;-60
1679666221.422938384;2023-03-24 13:57:01;-60
1679666221.445488643;2023-03-24 13:57:01;-61
1679666221.808861772;2023-03-24 13:57:01;-61
1679666221.830465902;2023-03-24 13:57:01;-61
1679666222.223003957;2023-03-24 13:57:02;-67
1679666222.242407735;2023-03-24 13:57:02;-66
1679666222.509213994;2023-03-24 13:57:02;-57
1679666222.883030660;2023-03-24 13:57:02;-59
1679666222.902577938;2023-03-24 13:57:02;-61
1679666223.442972827;2023-03-24 13:57:03;-59
1679666226.640879640;2023-03-24 13:57:06;-61
1679666227.000503973;2023-03-24 13:57:07;-61
1679666227.020821436;2023-03-24 13:57:07;-60
1679666227.433450195;2023-03-24 13:57:07;-60
1679666227.836781991;2023-03-24 13:57:07;-61
1679666228.242238102;2023-03-24 13:57:08;-60
1679666228.261849879;2023-03-24 13:57:08;-61
1679666228.668039990;2023-03-24 13:57:08;-60
1679666229.035574564;2023-03-24 13:57:09;-61
1679666229.055188194;2023-03-24 13:57:09;-59
1679666229.101069138;2023-03-24 13:57:09;-59
1679666229.146580564;2023-03-24 13:57:09;-61
1679666229.165939823;2023-03-24 13:57:09;-63
1679666229.190348842;2023-03-24 13:57:09;-67
1679666229.870200934;2023-03-24 13:57:09;-60
1679666230.320563286;2023-03-24 13:57:10;-60
1679666230.977060211;2023-03-24 13:57:10;-61
1679666231.189356433;2023-03-24 13:57:11;-61
1679666231.208711396;2023-03-24 13:57:11;-59
1679666232.014724525;2023-03-24 13:57:12;-58
1679666232.034077340;2023-03-24 13:57:12;-59
1679666232.184963951;2023-03-24 13:57:12;-57
1679666232.204628470;2023-03-24 13:57:12;-57
1679666233.124320377;2023-03-24 13:57:13;-54
1679666233.143743395;2023-03-24 13:57:13;-53
1679666233.246846062;2023-03-24 13:57:13;-59
1679666236.974417930;2023-03-24 13:57:16;-62
1679666237.784488503;2023-03-24 13:57:17;-60
1679666237.806889392;2023-03-24 13:57:17;-61
1679666237.982411170;2023-03-24 13:57:17;-59
1679666238.004790188;2023-03-24 13:57:18;-59
1679666238.643610188;2023-03-24 13:57:18;-61
1679666238.771019707;2023-03-24 13:57:18;-61
1679666239.466071465;2023-03-24 13:57:19;-61
1679666239.581917836;2023-03-24 13:57:19;-60
1679666240.265864428;2023-03-24 13:57:20;-61
1679666240.322336909;2023-03-24 13:57:20;-60
1679666240.366667057;2023-03-24 13:57:20;-62
1679666240.410416446;2023-03-24 13:57:20;-68
1679666241.080705779;2023-03-24 13:57:21;-60
1679666241.168079131;2023-03-24 13:57:21;-58
1679666241.189757113;2023-03-24 13:57:21;-59
