Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
2023-05-09 19:20:39;-57;5.55, 15;0, 0;15.994
2023-05-09 19:20:39;-58;5.55, 15;0, 0;15.994
2023-05-09 19:20:39;-63;5.55, 15;0, 0;15.994
2023-05-09 19:20:42;-57;5.55, 15;0, 0;15.994
2023-05-09 19:20:42;-59;5.55, 15;0, 0;15.994
2023-05-09 19:20:42;-63;5.55, 15;0, 0;15.994
2023-05-09 19:20:45;-57;5.55, 15;0, 0;15.994
2023-05-09 19:20:45;-58;5.55, 15;0, 0;15.994
2023-05-09 19:20:45;-63;5.55, 15;0, 0;15.994
2023-05-09 19:20:48;-58;5.55, 15;0, 0;15.994
2023-05-09 19:20:55;-59;5.55, 15;0, 0;15.994
2023-05-09 19:20:58;-58;5.55, 15;0, 0;15.994
2023-05-09 19:20:58;-60;5.55, 15;0, 0;15.994
2023-05-09 19:21:01;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:01;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:01;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:04;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:04;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:10;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:10;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:14;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:14;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:17;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:17;-63;5.55, 15;0, 0;15.994
2023-05-09 19:21:20;-60;5.55, 15;0, 0;15.994
2023-05-09 19:21:20;-59;5.55, 15;0, 0;15.994
2023-05-09 19:21:23;-72;5.55, 15;0, 0;15.994
2023-05-09 19:21:23;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:23;-63;5.55, 15;0, 0;15.994
2023-05-09 19:21:26;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:26;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:30;-56;5.55, 15;0, 0;15.994
2023-05-09 19:21:30;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:33;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:36;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:36;-59;5.55, 15;0, 0;15.994
2023-05-09 19:21:36;-64;5.55, 15;0, 0;15.994
2023-05-09 19:21:39;-59;5.55, 15;0, 0;15.994
2023-05-09 19:21:39;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:42;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:42;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:42;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:45;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:46;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:49;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:49;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:49;-61;5.55, 15;0, 0;15.994
2023-05-09 19:21:52;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:52;-59;5.55, 15;0, 0;15.994
2023-05-09 19:21:55;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:55;-58;5.55, 15;0, 0;15.994
2023-05-09 19:21:55;-62;5.55, 15;0, 0;15.994
2023-05-09 19:21:58;-57;5.55, 15;0, 0;15.994
2023-05-09 19:21:58;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:01;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:01;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:08;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:08;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:11;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:11;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:14;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:14;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:17;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:17;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:17;-64;5.55, 15;0, 0;15.994
2023-05-09 19:22:20;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:21;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:24;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:24;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:24;-64;5.55, 15;0, 0;15.994
2023-05-09 19:22:27;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:27;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:27;-62;5.55, 15;0, 0;15.994
2023-05-09 19:22:30;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:30;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:30;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:33;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:33;-62;5.55, 15;0, 0;15.994
2023-05-09 19:22:36;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:36;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:40;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:40;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:43;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:43;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:43;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:46;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:46;-59;5.55, 15;0, 0;15.994
2023-05-09 19:22:46;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:49;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:49;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:49;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:52;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:52;-58;5.55, 15;0, 0;15.994
2023-05-09 19:22:52;-64;5.55, 15;0, 0;15.994
2023-05-09 19:22:55;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:56;-63;5.55, 15;0, 0;15.994
2023-05-09 19:22:59;-57;5.55, 15;0, 0;15.994
2023-05-09 19:22:59;-58;5.55, 15;0, 0;15.994
2023-05-09 19:23:02;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:05;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:08;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:08;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:08;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:11;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:11;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:12;-64;5.55, 15;0, 0;15.994
2023-05-09 19:23:15;-58;5.55, 15;0, 0;15.994
2023-05-09 19:23:15;-58;5.55, 15;0, 0;15.994
2023-05-09 19:23:15;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:18;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:18;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:18;-64;5.55, 15;0, 0;15.994
2023-05-09 19:23:21;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:21;-58;5.55, 15;0, 0;15.994
2023-05-09 19:23:21;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:24;-57;5.55, 15;0, 0;15.994
2023-05-09 19:23:24;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:24;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:27;-58;5.55, 15;0, 0;15.994
2023-05-09 19:23:27;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:27;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:31;-59;5.55, 15;0, 0;15.994
2023-05-09 19:23:31;-63;5.55, 15;0, 0;15.994
2023-05-09 19:23:34;-58;5.55, 15;0, 0;15.994
