Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:04:00 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:01 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:02 2023;-77;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:05 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:06 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:07 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:11 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:13 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:15 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:17 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:18 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:20 2023;-85;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:22 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:23 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:24 2023;-85;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:25 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:27 2023;-79;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:28 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:31 2023;-79;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:35 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:36 2023;-77;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:38 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:40 2023;-85;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:41 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:44 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:45 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:46 2023;-77;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:48 2023;-76;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:50 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:52 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:53 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:54 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:55 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:57 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:58 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:04:59 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:01 2023;-77;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:02 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:03 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:06 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:07 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:09 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:10 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:11 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:12 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:13 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:14 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:15 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:23 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:24 2023;-79;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:25 2023;-79;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:27 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:28 2023;-84;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:29 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:31 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:33 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:34 2023;-77;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:35 2023;-86;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:36 2023;-79;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:37 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:38 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:39 2023;-78;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:41 2023;-83;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:42 2023;-81;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:43 2023;-80;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:44 2023;-85;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:45 2023;-82;16.4, 10;4.6, 0;15.46738504
Thu Mar 16 10:05:46 2023;-83;16.4, 10;4.6, 0;15.46738504
