TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:33:15 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:16 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:33:17 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:33:19 2023;-78;0, -15;0, 0;15
Wed Jan 25 16:33:20 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:21 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:33:22 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:23 2023;-78;0, -15;0, 0;15
Wed Jan 25 16:33:24 2023;-79;0, -15;0, 0;15
Wed Jan 25 16:33:25 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:33:26 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:27 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:33:28 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:29 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:33:30 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:31 2023;-81;0, -15;0, 0;15
Wed Jan 25 16:33:33 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:33:34 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:33:35 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:33:36 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:38 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:39 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:33:41 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:42 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:44 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:33:45 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:33:46 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:33:47 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:48 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:33:50 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:33:51 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:33:52 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:33:53 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:33:54 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:33:56 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:33:57 2023;-79;0, -15;0, 0;15
Wed Jan 25 16:33:58 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:34:01 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:34:02 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:34:06 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:34:07 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:34:08 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:09 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:10 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:11 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:13 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:15 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:34:16 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:17 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:34:19 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:20 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:21 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:34:22 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:34:23 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:34:24 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:25 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:34:26 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:34:28 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:34:31 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:34:32 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:34:33 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:34:35 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:36 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:34:37 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:34:38 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:34:39 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:34:40 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:34:41 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:34:43 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:34:44 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:34:46 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:34:47 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:34:48 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:34:49 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:34:50 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:34:51 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:34:52 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:34:55 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:34:56 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:34:59 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:35:00 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:01 2023;-80;0, -15;0, 0;15
Wed Jan 25 16:35:03 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:04 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:35:05 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:35:06 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:35:07 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:08 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:35:09 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:12 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:13 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:14 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:15 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:16 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:35:17 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:18 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:19 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:35:20 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:35:21 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:35:22 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:35:23 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:35:24 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:35:25 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:35:26 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:27 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:28 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:35:29 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:35:32 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:33 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:35 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:37 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:38 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:39 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:40 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:35:41 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:42 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:43 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:35:44 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:35:45 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:35:46 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:35:47 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:48 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:35:50 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:35:52 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:35:53 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:56 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:35:57 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:35:58 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:02 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:36:03 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:36:04 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:06 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:07 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:36:08 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:09 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:10 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:36:11 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:12 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:36:13 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:36:14 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:36:15 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:36:16 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:17 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:18 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:19 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:20 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:21 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:22 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:23 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:24 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:36:25 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:26 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:27 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:28 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:32 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:33 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:36 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:36:37 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:38 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:36:40 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:36:41 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:36:43 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:36:44 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:36:45 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:47 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:36:48 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:36:49 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:36:50 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:36:51 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:52 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:36:53 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:36:56 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:36:58 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:00 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:37:01 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:02 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:03 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:37:04 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:07 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:37:08 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:10 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:37:11 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:37:13 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:37:15 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:37:16 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:37:19 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:20 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:22 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:37:23 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:37:25 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:37:26 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:37:27 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:37:30 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:31 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:32 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:37:33 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:37:35 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:36 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:37:37 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:37:40 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:41 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:37:42 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:37:45 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:46 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:37:47 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:48 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:37:50 2023;-76;0, -15;0, 0;15
Wed Jan 25 16:37:51 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:37:53 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:37:55 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:57 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:37:58 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:38:02 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:38:03 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:38:04 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:06 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:07 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:08 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:09 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:10 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:11 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:38:12 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:38:13 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:14 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:38:15 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:38:16 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:38:17 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:18 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:38:19 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:38:20 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:21 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:38:22 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:23 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:24 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:38:25 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:27 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:29 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:38:31 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:32 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:33 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:34 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:38:36 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:37 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:38 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:39 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:41 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:42 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:38:43 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:44 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:45 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:38:47 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:38:49 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:50 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:38:51 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:52 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:53 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:38:54 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:55 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:38:56 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:38:57 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:38:58 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:00 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:01 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:39:03 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:39:05 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:07 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:08 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:09 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:10 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:11 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:12 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:14 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:15 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:39:16 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:19 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:20 2023;-75;0, -15;0, 0;15
Wed Jan 25 16:39:21 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:22 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:23 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:24 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:25 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:26 2023;-71;0, -15;0, 0;15
Wed Jan 25 16:39:27 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:28 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:29 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:30 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:32 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:33 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:35 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:36 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:37 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:38 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:40 2023;-72;0, -15;0, 0;15
Wed Jan 25 16:39:43 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:44 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:45 2023;-77;0, -15;0, 0;15
Wed Jan 25 16:39:46 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:47 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:48 2023;-73;0, -15;0, 0;15
Wed Jan 25 16:39:49 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:39:50 2023;-69;0, -15;0, 0;15
Wed Jan 25 16:39:51 2023;-68;0, -15;0, 0;15
Wed Jan 25 16:39:52 2023;-67;0, -15;0, 0;15
Wed Jan 25 16:39:53 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:39:54 2023;-66;0, -15;0, 0;15
Wed Jan 25 16:39:56 2023;-65;0, -15;0, 0;15
Wed Jan 25 16:39:58 2023;-74;0, -15;0, 0;15
Wed Jan 25 16:40:01 2023;-70;0, -15;0, 0;15
Wed Jan 25 16:40:02 2023;-66;0, -15;0, 0;15
