TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:18:55 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:18:57 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:18:58 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:18:59 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:02 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:03 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:04 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:06 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:07 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:08 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:09 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:10 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:11 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:12 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:13 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:15 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:16 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:17 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:19 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:22 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:23 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:24 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:25 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:27 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:28 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:29 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:30 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:31 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:32 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:35 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:36 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:37 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:38 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:40 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:41 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:42 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:43 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:45 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:47 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:48 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:49 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:50 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:51 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:52 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:53 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:54 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:56 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:58 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:19:59 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:00 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:01 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:04 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:05 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:06 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:07 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:09 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:10 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:11 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:14 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:15 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:16 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:17 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:18 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:19 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:20 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:23 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:24 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:25 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:26 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:28 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:29 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:31 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:33 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:34 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:36 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:39 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:40 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:41 2023;-70;-10.55, 0;0, 0;10.55
