Timestamp;Date ISO;Rx Power [dBm]
1679668311.624820934;2023-03-24 14:31:51;-51
1679668314.801086451;2023-03-24 14:31:54;-51
1679668314.822357432;2023-03-24 14:31:54;-51
1679668315.143879654;2023-03-24 14:31:55;-49
1679668315.894719506;2023-03-24 14:31:55;-51
1679668316.033747394;2023-03-24 14:31:56;-49
1679668316.055734931;2023-03-24 14:31:56;-49
1679668316.713215579;2023-03-24 14:31:56;-51
1679668316.735999098;2023-03-24 14:31:56;-51
1679668316.882007635;2023-03-24 14:31:56;-49
1679668317.374588319;2023-03-24 14:31:57;-52
1679668317.419547671;2023-03-24 14:31:57;-51
1679668317.464287931;2023-03-24 14:31:57;-56
1679668318.432027300;2023-03-24 14:31:58;-52
1679668319.435110818;2023-03-24 14:31:59;-52
1679668319.454872337;2023-03-24 14:31:59;-52
1679668319.573266059;2023-03-24 14:31:59;-49
1679668320.527067206;2023-03-24 14:32:00;17
1679668320.545881114;2023-03-24 14:32:00;17
1679668320.963428336;2023-03-24 14:32:00;-51
1679668324.503552445;2023-03-24 14:32:04;-51
1679668324.523428982;2023-03-24 14:32:04;-51
1679668325.280193315;2023-03-24 14:32:05;-52
1679668325.302084574;2023-03-24 14:32:05;-52
1679668325.482810370;2023-03-24 14:32:05;-49
1679668352.867384169;2023-03-24 14:32:32;-52
1679668353.445353168;2023-03-24 14:32:33;-51
1679668354.003587409;2023-03-24 14:32:34;-52
1679668354.563830057;2023-03-24 14:32:34;-52
1679668355.024657686;2023-03-24 14:32:35;-57
1679668355.047149019;2023-03-24 14:32:35;-51
1679668355.134619667;2023-03-24 14:32:35;-49
1679668355.178391630;2023-03-24 14:32:35;-51
1679668355.222174001;2023-03-24 14:32:35;-55
1679668355.267153815;2023-03-24 14:32:35;-53
1679668355.286618093;2023-03-24 14:32:35;-53
1679668356.048641593;2023-03-24 14:32:36;-53
1679668356.068047667;2023-03-24 14:32:36;-53
1679668356.416121555;2023-03-24 14:32:36;-47
1679668356.436376278;2023-03-24 14:32:36;-46
1679668360.238621405;2023-03-24 14:32:40;-52
1679668360.259954238;2023-03-24 14:32:40;-52
1679668360.631228720;2023-03-24 14:32:40;-52
1679668360.675935423;2023-03-24 14:32:40;-56
1679668361.354199904;2023-03-24 14:32:41;-51
1679668361.376165460;2023-03-24 14:32:41;-52
1679668362.088675922;2023-03-24 14:32:42;-52
1679668362.804076218;2023-03-24 14:32:42;-51
1679668363.544579366;2023-03-24 14:32:43;-52
1679668363.564903551;2023-03-24 14:32:43;-52
1679668364.169935255;2023-03-24 14:32:44;-51
1679668364.789450643;2023-03-24 14:32:44;-52
1679668365.176445161;2023-03-24 14:32:45;-54
1679668365.648776013;2023-03-24 14:32:45;-53
1679668365.668057013;2023-03-24 14:32:45;-54
1679668365.932841605;2023-03-24 14:32:45;-72
1679668365.952442846;2023-03-24 14:32:45;-79
1679668369.185525103;2023-03-24 14:32:49;-52
1679668369.518297103;2023-03-24 14:32:49;-51
1679668371.007552232;2023-03-24 14:32:51;-49
1679668371.026259084;2023-03-24 14:32:51;-49
1679668371.456285176;2023-03-24 14:32:51;-51
1679668371.476195046;2023-03-24 14:32:51;-51
1679668371.794172676;2023-03-24 14:32:51;-51
1679668371.837372713;2023-03-24 14:32:51;-52
1679668372.581310416;2023-03-24 14:32:52;-52
1679668379.180104634;2023-03-24 14:32:59;-52
1679668379.198988931;2023-03-24 14:32:59;-50
1679668379.552789542;2023-03-24 14:32:59;-52
1679668379.576564912;2023-03-24 14:32:59;-52
1679668380.003084745;2023-03-24 14:33:00;-51
1679668380.377635263;2023-03-24 14:33:00;-52
1679668380.785259004;2023-03-24 14:33:00;-53
1679668381.204371244;2023-03-24 14:33:01;-51
1679668381.593944466;2023-03-24 14:33:01;-52
1679668382.008317114;2023-03-24 14:33:02;-51
1679668382.030209466;2023-03-24 14:33:02;-52
1679668382.825388225;2023-03-24 14:33:02;-52
1679668383.048674206;2023-03-24 14:33:03;-52
1679668384.471421224;2023-03-24 14:33:04;-55
1679668420.352875036;2023-03-24 14:33:40;-52
1679668420.374233203;2023-03-24 14:33:40;-52
1679668420.552759888;2023-03-24 14:33:40;-49
1679668420.596578795;2023-03-24 14:33:40;-51
1679668420.660836369;2023-03-24 14:33:40;-56
1679668423.476741719;2023-03-24 14:33:43;-55
1679668423.499269701;2023-03-24 14:33:43;-54
1679668427.853931142;2023-03-24 14:33:47;-52
1679668427.875943476;2023-03-24 14:33:47;-52
1679668428.348724068;2023-03-24 14:33:48;-52
1679668429.154143308;2023-03-24 14:33:49;-53
1679668429.523079345;2023-03-24 14:33:49;-52
1679668429.964887345;2023-03-24 14:33:49;-51
1679668429.984369345;2023-03-24 14:33:49;-49
1679668430.345608604;2023-03-24 14:33:50;-52
1679668430.794443974;2023-03-24 14:33:50;-51
1679668431.175595770;2023-03-24 14:33:51;-51
1679668431.577975288;2023-03-24 14:33:51;-51
1679668431.599720862;2023-03-24 14:33:51;-52
1679668431.795435177;2023-03-24 14:33:51;-52
1679668431.840338844;2023-03-24 14:33:51;-51
1679668431.884102714;2023-03-24 14:33:51;-56
1679668433.287389824;2023-03-24 14:33:53;17
1679668433.305889565;2023-03-24 14:33:53;17
1679668433.926855046;2023-03-24 14:33:53;-51
1679668433.946178287;2023-03-24 14:33:53;-51
1679668437.371180026;2023-03-24 14:33:57;-51
1679668437.409187840;2023-03-24 14:33:57;-51
1679668437.453276674;2023-03-24 14:33:57;-52
1679668437.496647452;2023-03-24 14:33:57;-56
1679668437.516026118;2023-03-24 14:33:57;-56
1679668438.172381025;2023-03-24 14:33:58;-51
1679668438.425653229;2023-03-24 14:33:58;-51
1679668439.210011969;2023-03-24 14:33:59;-51
1679668440.054779598;2023-03-24 14:34:00;-52
1679668440.196965376;2023-03-24 14:34:00;-52
1679668440.216837820;2023-03-24 14:34:00;-49
1679668440.870643987;2023-03-24 14:34:00;-52
1679668440.890657042;2023-03-24 14:34:00;-49
1679668441.002938931;2023-03-24 14:34:01;-50
1679668441.714464023;2023-03-24 14:34:01;-52
1679668441.804420153;2023-03-24 14:34:01;-49
1679668442.493296523;2023-03-24 14:34:02;-52
1679668442.513174134;2023-03-24 14:34:02;-52
1679668442.778824319;2023-03-24 14:34:02;-53
1679668442.793652393;2023-03-24 14:34:02;-55
1679668442.910979411;2023-03-24 14:34:02;17
1679668443.207421096;2023-03-24 14:34:03;-49
1679668443.231731689;2023-03-24 14:34:03;-48
1679668443.319254244;2023-03-24 14:34:03;-48
1679668443.339264744;2023-03-24 14:34:03;17
1679668443.790285911;2023-03-24 14:34:03;-51
1679668444.016990207;2023-03-24 14:34:04;-46
1679668444.036707818;2023-03-24 14:34:04;-46
1679668447.680865186;2023-03-24 14:34:07;-51
1679668447.779272575;2023-03-24 14:34:07;-49
1679668448.610117260;2023-03-24 14:34:08;-49
1679668448.734240667;2023-03-24 14:34:08;-56
1679668449.379923630;2023-03-24 14:34:09;-51
1679668449.402530019;2023-03-24 14:34:09;-52
1679668450.275011259;2023-03-24 14:34:10;-49
1679668450.495766796;2023-03-24 14:34:10;-52
1679668451.082121147;2023-03-24 14:34:11;-51
1679668451.303418795;2023-03-24 14:34:11;-52
1679668451.938632091;2023-03-24 14:34:11;-50
1679668452.095978498;2023-03-24 14:34:12;-50
1679668453.017069961;2023-03-24 14:34:13;-49
1679668453.037426405;2023-03-24 14:34:13;-49
1679668453.177043294;2023-03-24 14:34:13;-53
1679668453.196340961;2023-03-24 14:34:13;-53
1679668453.285817090;2023-03-24 14:34:13;-51
1679668453.448294405;2023-03-24 14:34:13;-47
1679668453.468650442;2023-03-24 14:34:13;-46
1679668457.417107680;2023-03-24 14:34:17;-52
1679668457.857192736;2023-03-24 14:34:17;-51
1679668457.877024513;2023-03-24 14:34:17;-52
1679668458.252439958;2023-03-24 14:34:18;-52
1679668458.664875124;2023-03-24 14:34:18;-51
1679668458.688798624;2023-03-24 14:34:18;-49
1679668459.033387142;2023-03-24 14:34:19;-52
1679668459.473347550;2023-03-24 14:34:19;-51
1679668459.864091994;2023-03-24 14:34:19;-51
1679668459.962115753;2023-03-24 14:34:19;-52
1679668460.005633771;2023-03-24 14:34:20;-56
1679668461.133361160;2023-03-24 14:34:21;-51
1679668461.753888826;2023-03-24 14:34:21;-52
1679668462.038440196;2023-03-24 14:34:22;-55
1679668462.735877862;2023-03-24 14:34:22;17
1679668462.755527066;2023-03-24 14:34:22;17
1679668462.989640214;2023-03-24 14:34:22;-53
1679668485.921009349;2023-03-24 14:34:45;-51
1679668485.942404275;2023-03-24 14:34:45;-50
1679668486.183732404;2023-03-24 14:34:46;-51
1679668486.226535311;2023-03-24 14:34:46;-52
1679668486.252116645;2023-03-24 14:34:46;-56
1679668487.886153903;2023-03-24 14:34:47;-51
1679668487.907372440;2023-03-24 14:34:47;-51
1679668489.018594402;2023-03-24 14:34:49;-51
1679668489.839922772;2023-03-24 14:34:49;-52
1679668490.254924939;2023-03-24 14:34:50;-51
1679668490.277737994;2023-03-24 14:34:50;-51
1679668490.664108068;2023-03-24 14:34:50;-51
1679668491.094915031;2023-03-24 14:34:51;-57
1679668491.344929253;2023-03-24 14:34:51;-49
1679668492.003951067;2023-03-24 14:34:52;-53
1679668492.047896012;2023-03-24 14:34:52;-52
1679668492.159716012;2023-03-24 14:34:52;-46
1679668492.182240641;2023-03-24 14:34:52;-45
1679668492.203424956;2023-03-24 14:34:52;-47
1679668492.222753474;2023-03-24 14:34:52;-47
1679668492.247205123;2023-03-24 14:34:52;-51
1679668492.290904215;2023-03-24 14:34:52;-51
1679668492.313685845;2023-03-24 14:34:52;-72
1679668492.421725308;2023-03-24 14:34:52;-47
1679668495.728869509;2023-03-24 14:34:55;-52
1679668495.749192639;2023-03-24 14:34:55;-52
1679668496.222928157;2023-03-24 14:34:56;-51
1679668496.671426379;2023-03-24 14:34:56;-51
1679668496.692437768;2023-03-24 14:34:56;-52
1679668497.032572379;2023-03-24 14:34:57;-52
1679668497.424755416;2023-03-24 14:34:57;-53
1679668497.468492731;2023-03-24 14:34:57;-56
1679668497.487846916;2023-03-24 14:34:57;-56
1679668498.253907841;2023-03-24 14:34:58;-51
1679668498.854016822;2023-03-24 14:34:58;-52
1679668498.876252600;2023-03-24 14:34:58;-51
1679668499.339163804;2023-03-24 14:34:59;-51
1679668500.428763636;2023-03-24 14:35:00;-51
1679668500.870083803;2023-03-24 14:35:00;-57
