Timestamp;Date ISO;POTENZA_dBm
1679667581.308576073;2023-03-24 14:19:41;-57
1679667581.329825629;2023-03-24 14:19:41;-57
1679667581.712907110;2023-03-24 14:19:41;-55
1679667581.733526351;2023-03-24 14:19:41;-54
1679667582.712388331;2023-03-24 14:19:42;-57
1679667582.992353257;2023-03-24 14:19:42;-61
1679667583.106160590;2023-03-24 14:19:43;-59
1679667583.126317127;2023-03-24 14:19:43;-59
1679667583.364876109;2023-03-24 14:19:43;17
1679667583.383614053;2023-03-24 14:19:43;17
1679667587.688196903;2023-03-24 14:19:47;-57
1679667588.516269069;2023-03-24 14:19:48;-57
1679667588.536659754;2023-03-24 14:19:48;-57
1679667589.332746494;2023-03-24 14:19:49;-57
1679667589.471362401;2023-03-24 14:19:49;-57
1679667589.492418587;2023-03-24 14:19:49;-57
1679667590.131680068;2023-03-24 14:19:50;-57
1679667590.975311401;2023-03-24 14:19:50;-60
1679667591.213699437;2023-03-24 14:19:51;-57
1679667591.233528937;2023-03-24 14:19:51;-56
1679667591.504746141;2023-03-24 14:19:51;-57
1679667591.526061159;2023-03-24 14:19:51;-59
1679667591.545376289;2023-03-24 14:19:51;-57
1679667591.569698456;2023-03-24 14:19:51;-62
1679667592.213774289;2023-03-24 14:19:52;-57
1679667592.235031696;2023-03-24 14:19:52;-57
1679667593.598730380;2023-03-24 14:19:53;-54
1679667593.618335732;2023-03-24 14:19:53;-54
1679667593.859174621;2023-03-24 14:19:53;-57
1679667593.878532936;2023-03-24 14:19:53;-56
1679667597.991605026;2023-03-24 14:19:57;-58
1679667599.514186784;2023-03-24 14:19:59;-57
1679667599.533230007;2023-03-24 14:19:59;-54
1679667599.705065247;2023-03-24 14:19:59;-56
1679667600.332728969;2023-03-24 14:20:00;-57
1679667600.490098747;2023-03-24 14:20:00;-54
1679667600.509734284;2023-03-24 14:20:00;-55
1679667601.290264265;2023-03-24 14:20:01;-54
1679667602.779825671;2023-03-24 14:20:02;-62
1679667602.824886338;2023-03-24 14:20:02;-56
1679667602.957298430;2023-03-24 14:20:02;-55
1679667603.045043690;2023-03-24 14:20:03;-58
1679667603.391690541;2023-03-24 14:20:03;-56
1679667603.410941338;2023-03-24 14:20:03;-56
1679667607.232991669;2023-03-24 14:20:07;-54
1679667607.255019280;2023-03-24 14:20:07;-55
1679667607.923884687;2023-03-24 14:20:07;-57
1679667608.066852020;2023-03-24 14:20:08;-56
