Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
10/05/23 01:49;-71;-10.55, 0;0, 0;10.55
10/05/23 01:49;-70;-10.55, 0;0, 0;10.55
10/05/23 01:49;-73;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-78;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-76;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-76;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-73;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-76;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-76;-10.55, 0;0, 0;10.55
10/05/23 01:50;-75;-10.55, 0;0, 0;10.55
10/05/23 01:50;-74;-10.55, 0;0, 0;10.55
10/05/23 01:50;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-73;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-77;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-77;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-73;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-74;-10.55, 0;0, 0;10.55
10/05/23 01:51;-76;-10.55, 0;0, 0;10.55
10/05/23 01:51;-79;-10.55, 0;0, 0;10.55
10/05/23 01:51;-71;-10.55, 0;0, 0;10.55
10/05/23 01:51;-71;-10.55, 0;0, 0;10.55
10/05/23 01:51;-75;-10.55, 0;0, 0;10.55
10/05/23 01:51;-79;-10.55, 0;0, 0;10.55
10/05/23 01:51;-78;-10.55, 0;0, 0;10.55
10/05/23 01:52;-80;-10.55, 0;0, 0;10.55
10/05/23 01:52;-77;-10.55, 0;0, 0;10.55
10/05/23 01:52;10;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-72;-10.55, 0;0, 0;10.55
10/05/23 01:52;-71;-10.55, 0;0, 0;10.55
10/05/23 01:52;-73;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-73;-10.55, 0;0, 0;10.55
10/05/23 01:52;-80;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-73;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-74;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-76;-10.55, 0;0, 0;10.55
10/05/23 01:52;-75;-10.55, 0;0, 0;10.55
10/05/23 01:52;-73;-10.55, 0;0, 0;10.55
10/05/23 01:53;-74;-10.55, 0;0, 0;10.55
10/05/23 01:53;-77;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-77;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-77;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-74;-10.55, 0;0, 0;10.55
10/05/23 01:53;-81;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-74;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-75;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-73;-10.55, 0;0, 0;10.55
10/05/23 01:53;-77;-10.55, 0;0, 0;10.55
10/05/23 01:53;-76;-10.55, 0;0, 0;10.55
10/05/23 01:53;-74;-10.55, 0;0, 0;10.55
