Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
10/05/23 00:55;-77;-10.55, 0;0, 0;10.55
10/05/23 00:55;-71;-10.55, 0;0, 0;10.55
10/05/23 00:55;-78;-10.55, 0;0, 0;10.55
10/05/23 00:55;-77;-10.55, 0;0, 0;10.55
10/05/23 00:55;-78;-10.55, 0;0, 0;10.55
10/05/23 00:55;-77;-10.55, 0;0, 0;10.55
10/05/23 00:55;-76;-10.55, 0;0, 0;10.55
10/05/23 00:55;-77;-10.55, 0;0, 0;10.55
10/05/23 00:55;-77;-10.55, 0;0, 0;10.55
10/05/23 00:55;-79;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-80;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-77;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-77;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-77;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-77;-10.55, 0;0, 0;10.55
10/05/23 00:56;-74;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-75;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:56;-76;-10.55, 0;0, 0;10.55
10/05/23 00:56;-78;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-79;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-79;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-74;-10.55, 0;0, 0;10.55
10/05/23 00:57;-76;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-78;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-75;-10.55, 0;0, 0;10.55
10/05/23 00:57;-78;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
10/05/23 00:57;-78;-10.55, 0;0, 0;10.55
10/05/23 00:57;-77;-10.55, 0;0, 0;10.55
