TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678963079.344972878;2023-03-16 10:37:59;-62;-0.4, 15;4.6, 0;15.8113883
1678963080.657541599;2023-03-16 10:38:00;-68;-0.4, 15;4.6, 0;15.8113883
1678963081.198947765;2023-03-16 10:38:01;-59;-0.4, 15;4.6, 0;15.8113883
1678963081.218732654;2023-03-16 10:38:01;-60;-0.4, 15;4.6, 0;15.8113883
1678963082.211233450;2023-03-16 10:38:02;-58;-0.4, 15;4.6, 0;15.8113883
1678963085.607699670;2023-03-16 10:38:05;-64;-0.4, 15;4.6, 0;15.8113883
1678963085.764972689;2023-03-16 10:38:05;-61;-0.4, 15;4.6, 0;15.8113883
1678963086.558307744;2023-03-16 10:38:06;-63;-0.4, 15;4.6, 0;15.8113883
1678963086.580487929;2023-03-16 10:38:06;-63;-0.4, 15;4.6, 0;15.8113883
1678963086.694615688;2023-03-16 10:38:06;-63;-0.4, 15;4.6, 0;15.8113883
1678963087.364794984;2023-03-16 10:38:07;-64;-0.4, 15;4.6, 0;15.8113883
1678963087.384118391;2023-03-16 10:38:07;-63;-0.4, 15;4.6, 0;15.8113883
1678963087.409773854;2023-03-16 10:38:07;-67;-0.4, 15;4.6, 0;15.8113883
1678963087.429139595;2023-03-16 10:38:07;-67;-0.4, 15;4.6, 0;15.8113883
1678963088.140367946;2023-03-16 10:38:08;-62;-0.4, 15;4.6, 0;15.8113883
1678963088.161956113;2023-03-16 10:38:08;-62;-0.4, 15;4.6, 0;15.8113883
1678963088.451639354;2023-03-16 10:38:08;-62;-0.4, 15;4.6, 0;15.8113883
1678963089.523807538;2023-03-16 10:38:09;-62;-0.4, 15;4.6, 0;15.8113883
1678963089.543497020;2023-03-16 10:38:09;-60;-0.4, 15;4.6, 0;15.8113883
1678963090.334071649;2023-03-16 10:38:10;-64;-0.4, 15;4.6, 0;15.8113883
1678963090.356287315;2023-03-16 10:38:10;-64;-0.4, 15;4.6, 0;15.8113883
1678963090.760293149;2023-03-16 10:38:10;-61;-0.4, 15;4.6, 0;15.8113883
1678963095.065821239;2023-03-16 10:38:15;-64;-0.4, 15;4.6, 0;15.8113883
1678963095.170114387;2023-03-16 10:38:15;-61;-0.4, 15;4.6, 0;15.8113883
1678963095.190311239;2023-03-16 10:38:15;-60;-0.4, 15;4.6, 0;15.8113883
1678963095.915658942;2023-03-16 10:38:15;-62;-0.4, 15;4.6, 0;15.8113883
1678963096.753011626;2023-03-16 10:38:16;-62;-0.4, 15;4.6, 0;15.8113883
1678963096.774342886;2023-03-16 10:38:16;-63;-0.4, 15;4.6, 0;15.8113883
1678963096.864839478;2023-03-16 10:38:16;-60;-0.4, 15;4.6, 0;15.8113883
1678963096.886382145;2023-03-16 10:38:16;-60;-0.4, 15;4.6, 0;15.8113883
1678963097.738896126;2023-03-16 10:38:17;-61;-0.4, 15;4.6, 0;15.8113883
1678963098.625606014;2023-03-16 10:38:18;-63;-0.4, 15;4.6, 0;15.8113883
1678963098.651093496;2023-03-16 10:38:18;-68;-0.4, 15;4.6, 0;15.8113883
1678963099.219453736;2023-03-16 10:38:19;-62;-0.4, 15;4.6, 0;15.8113883
1678963099.291601310;2023-03-16 10:38:19;-62;-0.4, 15;4.6, 0;15.8113883
1678963099.312619847;2023-03-16 10:38:19;-61;-0.4, 15;4.6, 0;15.8113883
1678963100.641484809;2023-03-16 10:38:20;-61;-0.4, 15;4.6, 0;15.8113883
1678963100.664726217;2023-03-16 10:38:20;-59;-0.4, 15;4.6, 0;15.8113883
1678963105.355262807;2023-03-16 10:38:25;-63;-0.4, 15;4.6, 0;15.8113883
1678963105.477457992;2023-03-16 10:38:25;-63;-0.4, 15;4.6, 0;15.8113883
1678963105.498911732;2023-03-16 10:38:25;-63;-0.4, 15;4.6, 0;15.8113883
1678963106.365994991;2023-03-16 10:38:26;-62;-0.4, 15;4.6, 0;15.8113883
1678963106.387798047;2023-03-16 10:38:26;-61;-0.4, 15;4.6, 0;15.8113883
1678963106.462673343;2023-03-16 10:38:26;-61;-0.4, 15;4.6, 0;15.8113883
1678963106.482868824;2023-03-16 10:38:26;-62;-0.4, 15;4.6, 0;15.8113883
1678963107.221941342;2023-03-16 10:38:27;-86;-0.4, 15;4.6, 0;15.8113883
1678963107.283326750;2023-03-16 10:38:27;-62;-0.4, 15;4.6, 0;15.8113883
1678963107.301644861;2023-03-16 10:38:27;-62;-0.4, 15;4.6, 0;15.8113883
1678963108.298165842;2023-03-16 10:38:28;-61;-0.4, 15;4.6, 0;15.8113883
1678963112.530224080;2023-03-16 10:38:32;-62;-0.4, 15;4.6, 0;15.8113883
1678963113.295717209;2023-03-16 10:38:33;-63;-0.4, 15;4.6, 0;15.8113883
1678963114.025263950;2023-03-16 10:38:34;-63;-0.4, 15;4.6, 0;15.8113883
1678963114.045065561;2023-03-16 10:38:34;-62;-0.4, 15;4.6, 0;15.8113883
1678963114.909063430;2023-03-16 10:38:34;-63;-0.4, 15;4.6, 0;15.8113883
1678963114.929330282;2023-03-16 10:38:34;-63;-0.4, 15;4.6, 0;15.8113883
1678963115.451290226;2023-03-16 10:38:35;-62;-0.4, 15;4.6, 0;15.8113883
1678963115.466290504;2023-03-16 10:38:35;-62;-0.4, 15;4.6, 0;15.8113883
1678963115.488800763;2023-03-16 10:38:35;-64;-0.4, 15;4.6, 0;15.8113883
1678963115.532015560;2023-03-16 10:38:35;-67;-0.4, 15;4.6, 0;15.8113883
1678963116.525168689;2023-03-16 10:38:36;-62;-0.4, 15;4.6, 0;15.8113883
1678963116.602800541;2023-03-16 10:38:36;-62;-0.4, 15;4.6, 0;15.8113883
1678963117.896571706;2023-03-16 10:38:37;17;-0.4, 15;4.6, 0;15.8113883
1678963118.861559243;2023-03-16 10:38:38;-57;-0.4, 15;4.6, 0;15.8113883
1678963118.877943558;2023-03-16 10:38:38;-56;-0.4, 15;4.6, 0;15.8113883
1678963122.474738407;2023-03-16 10:38:42;-64;-0.4, 15;4.6, 0;15.8113883
1678963122.494302852;2023-03-16 10:38:42;-63;-0.4, 15;4.6, 0;15.8113883
1678963122.605371148;2023-03-16 10:38:42;-61;-0.4, 15;4.6, 0;15.8113883
1678963123.344124092;2023-03-16 10:38:43;-62;-0.4, 15;4.6, 0;15.8113883
1678963124.085336999;2023-03-16 10:38:44;-62;-0.4, 15;4.6, 0;15.8113883
1678963124.104673425;2023-03-16 10:38:44;-63;-0.4, 15;4.6, 0;15.8113883
1678963124.841342017;2023-03-16 10:38:44;-63;-0.4, 15;4.6, 0;15.8113883
1678963124.862866276;2023-03-16 10:38:44;-62;-0.4, 15;4.6, 0;15.8113883
1678963125.696014943;2023-03-16 10:38:45;-64;-0.4, 15;4.6, 0;15.8113883
1678963125.789598720;2023-03-16 10:38:45;-64;-0.4, 15;4.6, 0;15.8113883
