TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678965222.987784396;2023-03-16 11:13:42;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965223.707450099;2023-03-16 11:13:43;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965224.102308692;2023-03-16 11:13:44;-70;-16.4, -7.5;4.6, 0;22.29910312
1678965224.124871451;2023-03-16 11:13:44;-70;-16.4, -7.5;4.6, 0;22.29910312
1678965224.677499062;2023-03-16 11:13:44;17;-16.4, -7.5;4.6, 0;22.29910312
1678965225.034807839;2023-03-16 11:13:45;-74;-16.4, -7.5;4.6, 0;22.29910312
1678965225.051118117;2023-03-16 11:13:45;-75;-16.4, -7.5;4.6, 0;22.29910312
1678965251.778054916;2023-03-16 11:14:11;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965252.657385527;2023-03-16 11:14:12;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965253.212694230;2023-03-16 11:14:13;-71;-16.4, -7.5;4.6, 0;22.29910312
1678965253.671575600;2023-03-16 11:14:13;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965254.402354489;2023-03-16 11:14:14;-70;-16.4, -7.5;4.6, 0;22.29910312
1678965254.426103100;2023-03-16 11:14:14;-68;-16.4, -7.5;4.6, 0;22.29910312
1678965254.512386692;2023-03-16 11:14:14;-68;-16.4, -7.5;4.6, 0;22.29910312
1678965258.022762209;2023-03-16 11:14:18;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965258.047990412;2023-03-16 11:14:18;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965258.227627375;2023-03-16 11:14:18;-63;-16.4, -7.5;4.6, 0;22.29910312
1678965259.090460060;2023-03-16 11:14:19;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965259.515195078;2023-03-16 11:14:19;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965259.624922374;2023-03-16 11:14:19;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965259.644196782;2023-03-16 11:14:19;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965259.687923282;2023-03-16 11:14:19;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965259.712341300;2023-03-16 11:14:19;-69;-16.4, -7.5;4.6, 0;22.29910312
1678965260.285150133;2023-03-16 11:14:20;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965260.305471189;2023-03-16 11:14:20;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965261.388927725;2023-03-16 11:14:21;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965261.718856521;2023-03-16 11:14:21;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965261.740759355;2023-03-16 11:14:21;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965262.161421632;2023-03-16 11:14:22;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965262.537628317;2023-03-16 11:14:22;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965262.937341761;2023-03-16 11:14:22;-71;-16.4, -7.5;4.6, 0;22.29910312
1678965273.781578384;2023-03-16 11:14:33;-70;-16.4, -7.5;4.6, 0;22.29910312
1678965277.228814197;2023-03-16 11:14:37;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965277.279140882;2023-03-16 11:14:37;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965293.429316447;2023-03-16 11:14:53;-71;-16.4, -7.5;4.6, 0;22.29910312
1678965296.629260649;2023-03-16 11:14:56;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965297.758294833;2023-03-16 11:14:57;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965298.255247370;2023-03-16 11:14:58;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965298.277879666;2023-03-16 11:14:58;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965298.297267333;2023-03-16 11:14:58;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965298.320270999;2023-03-16 11:14:58;-69;-16.4, -7.5;4.6, 0;22.29910312
1678965298.339574129;2023-03-16 11:14:58;-68;-16.4, -7.5;4.6, 0;22.29910312
1678965298.868084740;2023-03-16 11:14:58;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965299.410974240;2023-03-16 11:14:59;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965299.431798462;2023-03-16 11:14:59;-65;-16.4, -7.5;4.6, 0;22.29910312
1678965299.988535572;2023-03-16 11:14:59;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965300.009306313;2023-03-16 11:15:00;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965300.576022794;2023-03-16 11:15:00;-67;-16.4, -7.5;4.6, 0;22.29910312
1678965301.130682701;2023-03-16 11:15:01;-66;-16.4, -7.5;4.6, 0;22.29910312
1678965301.703369034;2023-03-16 11:15:01;-66;-16.4, -7.5;4.6, 0;22.29910312
