TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678967151.294955451;2023-03-16 11:45:51;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967151.314998099;2023-03-16 11:45:51;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967160.763422667;2023-03-16 11:46:00;-63;-16.4, 7.5;4.6, 0;22.29910312
1678967161.585676315;2023-03-16 11:46:01;-62;-16.4, 7.5;4.6, 0;22.29910312
1678967161.981930592;2023-03-16 11:46:01;-60;-16.4, 7.5;4.6, 0;22.29910312
1678967162.005075296;2023-03-16 11:46:02;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967162.272064148;2023-03-16 11:46:02;-66;-16.4, 7.5;4.6, 0;22.29910312
1678967165.772632609;2023-03-16 11:46:05;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967166.031492886;2023-03-16 11:46:06;-57;-16.4, 7.5;4.6, 0;22.29910312
1678967166.051158479;2023-03-16 11:46:06;-57;-16.4, 7.5;4.6, 0;22.29910312
1678967166.843031404;2023-03-16 11:46:06;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967166.864449719;2023-03-16 11:46:06;-57;-16.4, 7.5;4.6, 0;22.29910312
1678967167.044502571;2023-03-16 11:46:07;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967167.064775478;2023-03-16 11:46:07;-57;-16.4, 7.5;4.6, 0;22.29910312
1678967167.669028126;2023-03-16 11:46:07;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967167.840920237;2023-03-16 11:46:07;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967167.867063737;2023-03-16 11:46:07;-57;-16.4, 7.5;4.6, 0;22.29910312
1678967168.513749959;2023-03-16 11:46:08;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967168.664055570;2023-03-16 11:46:08;-58;-16.4, 7.5;4.6, 0;22.29910312
1678967169.378260403;2023-03-16 11:46:09;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967169.397160810;2023-03-16 11:46:09;-59;-16.4, 7.5;4.6, 0;22.29910312
1678967169.533517514;2023-03-16 11:46:09;-58;-16.4, 7.5;4.6, 0;22.29910312
1678967170.480727902;2023-03-16 11:46:10;-59;-16.4, 7.5;4.6, 0;22.29910312
