Timestamp;Date ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1674661487.206759211;2023-01-25 15:44:47;-64;5.55, 15;0, 0;15.994
1674661487.336297174;2023-01-25 15:44:47;-67;5.55, 15;0, 0;15.994
1674661488.206934562;2023-01-25 15:44:48;-66;5.55, 15;0, 0;15.994
1674661489.165697635;2023-01-25 15:44:49;-63;5.55, 15;0, 0;15.994
1674661489.185421450;2023-01-25 15:44:49;-62;5.55, 15;0, 0;15.994
1674661494.094338688;2023-01-25 15:44:54;-68;5.55, 15;0, 0;15.994
1674661494.115695540;2023-01-25 15:44:54;-67;5.55, 15;0, 0;15.994
1674661494.848233706;2023-01-25 15:44:54;-66;5.55, 15;0, 0;15.994
1674661494.926960910;2023-01-25 15:44:54;-65;5.55, 15;0, 0;15.994
1674661495.643402909;2023-01-25 15:44:55;-67;5.55, 15;0, 0;15.994
1674661495.663124113;2023-01-25 15:44:55;-66;5.55, 15;0, 0;15.994
1674661496.483701409;2023-01-25 15:44:56;-66;5.55, 15;0, 0;15.994
1674661497.183043871;2023-01-25 15:44:57;-68;5.55, 15;0, 0;15.994
1674661497.291109594;2023-01-25 15:44:57;-70;5.55, 15;0, 0;15.994
1674661499.682024111;2023-01-25 15:44:59;-62;5.55, 15;0, 0;15.994
1674661508.208052420;2023-01-25 15:45:08;-67;5.55, 15;0, 0;15.994
1674661539.760635161;2023-01-25 15:45:39;-67;5.55, 15;0, 0;15.994
1674661539.884989531;2023-01-25 15:45:39;-66;5.55, 15;0, 0;15.994
1674661540.154633920;2023-01-25 15:45:40;-66;5.55, 15;0, 0;15.994
1674661540.174675864;2023-01-25 15:45:40;-66;5.55, 15;0, 0;15.994
1674661540.181956790;2023-01-25 15:45:40;-66;5.55, 15;0, 0;15.994
1674661549.406904396;2023-01-25 15:45:49;-67;5.55, 15;0, 0;15.994
1674661549.607871970;2023-01-25 15:45:49;-67;5.55, 15;0, 0;15.994
1674661550.413665784;2023-01-25 15:45:50;-66;5.55, 15;0, 0;15.994
1674661550.436022321;2023-01-25 15:45:50;-65;5.55, 15;0, 0;15.994
1674661550.455317210;2023-01-25 15:45:50;-65;5.55, 15;0, 0;15.994
1674661552.057324839;2023-01-25 15:45:52;-66;5.55, 15;0, 0;15.994
1674661552.796317801;2023-01-25 15:45:52;-67;5.55, 15;0, 0;15.994
1674661552.819001283;2023-01-25 15:45:52;-66;5.55, 15;0, 0;15.994
1674661553.006309246;2023-01-25 15:45:53;-66;5.55, 15;0, 0;15.994
1674661553.026120283;2023-01-25 15:45:53;-67;5.55, 15;0, 0;15.994
1674661553.786010801;2023-01-25 15:45:53;-67;5.55, 15;0, 0;15.994
1674661553.805959115;2023-01-25 15:45:53;-67;5.55, 15;0, 0;15.994
1674661554.210265856;2023-01-25 15:45:54;-66;5.55, 15;0, 0;15.994
1674661554.230386523;2023-01-25 15:45:54;-65;5.55, 15;0, 0;15.994
1674661555.171323466;2023-01-25 15:45:55;17;5.55, 15;0, 0;15.994
1674661560.247643112;2023-01-25 15:46:00;-67;5.55, 15;0, 0;15.994
1674661560.267704575;2023-01-25 15:46:00;-65;5.55, 15;0, 0;15.994
1674661561.618620222;2023-01-25 15:46:01;-64;5.55, 15;0, 0;15.994
1674661561.661144851;2023-01-25 15:46:01;-65;5.55, 15;0, 0;15.994
1674661561.680501203;2023-01-25 15:46:01;-66;5.55, 15;0, 0;15.994
1674661562.707637092;2023-01-25 15:46:02;-67;5.55, 15;0, 0;15.994
1674661562.728097036;2023-01-25 15:46:02;-67;5.55, 15;0, 0;15.994
1674661562.992615351;2023-01-25 15:46:02;-66;5.55, 15;0, 0;15.994
1674661563.015156462;2023-01-25 15:46:03;-67;5.55, 15;0, 0;15.994
1674661563.865331591;2023-01-25 15:46:03;-67;5.55, 15;0, 0;15.994
1674661565.245289423;2023-01-25 15:46:05;-65;5.55, 15;0, 0;15.994
1674661568.814157995;2023-01-25 15:46:08;-67;5.55, 15;0, 0;15.994
1674661568.896783495;2023-01-25 15:46:08;-67;5.55, 15;0, 0;15.994
1674661569.643964847;2023-01-25 15:46:09;-67;5.55, 15;0, 0;15.994
1674661569.666506495;2023-01-25 15:46:09;-67;5.55, 15;0, 0;15.994
1674661569.737700050;2023-01-25 15:46:09;-66;5.55, 15;0, 0;15.994
1674661569.757526254;2023-01-25 15:46:09;-67;5.55, 15;0, 0;15.994
1674661570.715828587;2023-01-25 15:46:10;-67;5.55, 15;0, 0;15.994
1674661570.794134235;2023-01-25 15:46:10;-66;5.55, 15;0, 0;15.994
1674661570.814194290;2023-01-25 15:46:10;-66;5.55, 15;0, 0;15.994
1674661571.490523772;2023-01-25 15:46:11;-62;5.55, 15;0, 0;15.994
1674661571.584600012;2023-01-25 15:46:11;-67;5.55, 15;0, 0;15.994
1674661572.266715067;2023-01-25 15:46:12;-67;5.55, 15;0, 0;15.994
1674661573.187930289;2023-01-25 15:46:13;-67;5.55, 15;0, 0;15.994
1674661573.920012992;2023-01-25 15:46:13;-66;5.55, 15;0, 0;15.994
1674661573.963777733;2023-01-25 15:46:13;-66;5.55, 15;0, 0;15.994
1674661574.007555085;2023-01-25 15:46:14;-68;5.55, 15;0, 0;15.994
1674661574.075145863;2023-01-25 15:46:14;-66;5.55, 15;0, 0;15.994
1674661589.062021724;2023-01-25 15:46:29;-67;5.55, 15;0, 0;15.994
