Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 17:08:08 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:09 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:10 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:11 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:12 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:15 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:16 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:17 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:18 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:19 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:24 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:25 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:27 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:28 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:29 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:30 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:32 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:34 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:35 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:36 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:37 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:40 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:45 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:46 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:47 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:48 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:49 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:50 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:51 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:52 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:53 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:54 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:56 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:08:58 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:01 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:03 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:05 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:07 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:08 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:09 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:10 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:11 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:12 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:14 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:15 2023;-60;-10.55, -7.5;0, 0;12.944
