Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:49:21 2023;-77;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:23 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:24 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:25 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:26 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:28 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:30 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:32 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:35 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:36 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:37 2023;-64;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:39 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:40 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:41 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:42 2023;-78;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:45 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:46 2023;-79;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:48 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:50 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:51 2023;-79;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:54 2023;-70;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:58 2023;-81;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:49:59 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:00 2023;-77;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:03 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:04 2023;-70;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:05 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:07 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:08 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:09 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:11 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:12 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:14 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:15 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:16 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:17 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:19 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:21 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:23 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:26 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:27 2023;-78;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:28 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:30 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:32 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:33 2023;-70;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:35 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:36 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:37 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:39 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:40 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:41 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:42 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:44 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:46 2023;-77;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:47 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:49 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:50 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:51 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:52 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:54 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:56 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:57 2023;-70;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:50:58 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:01 2023;-79;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:04 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:05 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:07 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:09 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:10 2023;-77;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:11 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:14 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:15 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:16 2023;-78;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:19 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:20 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:21 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:23 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:24 2023;-70;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:25 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:28 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:29 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:30 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:33 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:34 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:36 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:37 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:38 2023;-69;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:39 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:41 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:42 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:43 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:47 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:48 2023;-71;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:51 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:52 2023;-76;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:55 2023;-78;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:56 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:51:58 2023;-73;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:01 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:03 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:05 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:07 2023;-72;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:09 2023;-74;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:11 2023;-75;-10.55, -7.5;0, 0;12.944
Wed Jan 25 16:52:13 2023;-72;-10.55, -7.5;0, 0;12.944
